Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,chi,Normalized chi
0,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,0.85,0
0.01,1,0.01,0,0,0,0,-4,-4,522275581.168587,0,0,0,84.5479228714041,0.390046408640969
0.02,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.03,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.04,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.05,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.06,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.07,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.08,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.09,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.1,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.11,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.12,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.13,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.14,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.15,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.16,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.17,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.18,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.19,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.2,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.21,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.22,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.23,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.24,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.25,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.26,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.27,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.28,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.29,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.3,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.31,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.32,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.33,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.34,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.35,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.36,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.37,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.38,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.39,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.4,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.41,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.42,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.43,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.44,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.45,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.46,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.47,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.48,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.49,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.5,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.51,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.52,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.53,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.54,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.55,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.56,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.57,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.58,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.59,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.6,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.61,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.62,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.63,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.64,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.65,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.66,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.67,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.68,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.69,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.7,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.71,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.72,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.73,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.74,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.75,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.76,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.77,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.78,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.79,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.8,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.81,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.82,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.83,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.84,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.85,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.86,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.87,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.88,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.89,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.9,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.91,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.92,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.93,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.94,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.95,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.96,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.97,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.98,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
0.99,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
1,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
1.01,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
1.02,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
1.03,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
1.04,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
1.05,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
1.06,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
1.07,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
1.08,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
1.09,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
1.1,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
1.11,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
1.12,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
1.13,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
1.14,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
1.15,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
1.16,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
1.17,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
1.18,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
1.19,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
1.2,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,0.390046408640969
1.21,NaN,NaN,0,1,-0.984920530883253,-1,-5.996,-3.56000661098854,522275581.168587,5222755811.68587,5222755811.68587,-4,84.5479228714041,0.390046408640969
1.22,NaN,NaN,0,1,-0.985507520808337,-1,-7.77000730549427,-3.14405256583121,793151701.574793,7931517015.74793,7931517015.74793,-5.996,84.5479228714041,0.390046408640969
1.23,NaN,NaN,0,1,-0.986071821644476,-1,-9.33426358110438,-2.75195385689619,1145664726.37891,11456647263.7891,11456647263.7891,-7.77000730549427,84.5479228714041,0.390046408640969
1.24,NaN,NaN,0,1,-0.98661429815143,-1,-10.7009062459714,-2.38342246067596,1544023100.71483,15440231007.1483,15440231007.1483,-9.33426358110438,84.5479228714041,0.390046408640969
1.25,NaN,NaN,0,1,-0.987135783066163,-1,-11.8819165700634,-2.03807778182932,1959428804.9369,19594288049.369,19594288049.369,-10.7009062459714,84.5479228714041,0.390046408640969
1.26,NaN,NaN,0,1,-0.987637078216778,-1,-12.889073544408,-1.71545747185633,2369229687.15669,23692296871.5669,23692296871.5669,-11.8819165700634,84.5479228714041,0.390046408640969
1.27,NaN,NaN,0,1,-0.988118955603319,-1,-13.7339132067917,-1.41502762720323,2756119767.66493,27561197676.6493,27561197676.6493,-12.889073544408,84.5479228714041,0.390046408640969
1.28,NaN,NaN,0,1,-0.988582158445953,-1,-14.4276931071866,-1.13619237430008,3107393078.0229,31073930780.229,31073930780.229,-13.7339132067917,84.5479228714041,0.390046408640969
1.29,NaN,NaN,0,1,-0.989027402201099,-1,-14.9813616012294,-0.878302851440223,3414254657.42068,34142546574.2068,34142546574.2068,-14.4276931071866,84.5479228714041,0.390046408640969
1.3,NaN,NaN,0,0,-0.989455375546103,-1,-15.4055316653483,-0.640658950283907,3671190661.80622,36711906618.0622,36711906618.0622,-14.9813616012294,84.5479228714041,0.390046408640969
1.31,NaN,NaN,0,1,-0.989866741333068,-1,-15.7104556088249,-0.422544391326336,3875397991.60169,38753979916.0169,38753979916.0169,-15.4055316653483,84.5479228714041,0.390046408640969
