Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,chi,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,-4,-4,5615748.62080705,0,4679790.51733921,0,0.1,0.0313026253452545,0.268924935106756,0,0
0.05,1,0.05,-0.100419005323493,0,-0.0399786803111636,-0.327477394808705,-13.38,-1.80406854904431,5615748.62080705,4679790.51733921,0,-4,0.102015368372458,0.00166583434502847,0.27062538771545,0.701182375848384,0.121182375848384
0.1,1,0.05,-0.38085978426991,0,-0.0599281035291435,-0.469945198933038,-17.8232713726108,-0.251127263735648,65964060.4048136,54970050.3373446,0,-13.38,0.112853395823094,0.0292096592404732,0.265546472651286,0.70634293559681,0.12634293559681
0.15,NaN,NaN,-0.38085978426991,1,-0.0798297691111314,-0.591519395431817,-18.3619731750868,0.766389539003126,119173089.746607,99310908.1221722,6606512.65085215,-17.8232713726108,0.112853395823094,0.0657553930775314,0.257808757327951,0.704633634532165,0.124633634532165
0.2,NaN,NaN,-0.38085978426991,1,-0.0996679946249558,-0.69106946983293,-16.3541894617036,1.3020489953399,127646473.913685,106372061.594737,8620694.48272483,-18.3619731750868,0.112853395823094,0.0819388466904359,0.224148105793254,0.713084778668189,0.133084778668189
0.25,NaN,NaN,-0.38085978426991,1,-0.119427298534386,-0.7698665359089,-13.0172960260453,1.46946542123289,101916224.006545,84930186.6721206,3525448.99342548,-16.3541894617036,0.112853395823094,0.117391956267024,0.248800916258255,0.708854843462534,0.128854843462534
0.3,NaN,NaN,-0.38085978426991,0,-0.139092447878458,-0.830578868538528,-9.27854599283286,1.36750853006238,64950158.5979629,54125132.1649691,299634.10900162,-13.0172960260453,0.112853395823094,0.137594779995214,0.246453547057072,0.703479676506896,0.123479676506896
0.35,1,0.25,-0.250359098982091,1,-0.158648504297499,-0.876393067472823,-5.81338193771275,1.14837542010429,33206589.4669652,27672157.8891377,0,-9.27854599283286,0.114494770022185,0.154362151460121,0.244637319078713,0.719364301509178,0.139364301509178
0.4,1,0.05,-0.150756158339238,0,-0.17808086811733,-0.910424593900427,-2.91337647776346,0.858285862713656,13159024.4543802,10965853.7119835,0,-5.81338193771275,0.115731221232,0.182506405931046,0.208454066635687,0.70063365958315,0.12063365958315
0.45,1,0.05,-0.074331283691439,1,-0.197375320224904,-0.935409070603099,-0.753094938590503,0.575481412716378,3369348.91707492,2807790.7642291,0,-2.91337647776346,0.116585954399092,0.218581503031396,0.240578881810178,0.707664287455884,0.127664287455884
0.5,1,0.05,-0.0166687737881213,0,-0.216518061493029,-0.953594123708712,0.689374067893395,0.325528237884287,251351.852517871,209459.877098226,0,-0.753094938590503,0.117057062637021,0.214118862419212,0.208221897917576,0.704636187311574,0.124636187311574
0.55,1,0.05,0.0213630552861663,1,-0.235495749538498,-0.966747287784237,1.49974779226464,0.128919994478731,168850.611110075,140708.842591729,0,0.689374067893395,0.117267433781651,0.259472918739126,0.199986534737789,0.710201051914368,0.130201051914368
0.6,1,0.05,0.0419784149417428,1,-0.254295532626391,-0.976217736711226,1.81454903950015,-0.00992726415982156,834569.318564663,695474.432137219,0,1.49974779226464,0.117334554781508,0.301506974441631,0.176630443548339,0.702995735320801,0.122995735320801
0.65,NaN,NaN,0.0419784149417428,0,-0.272905080563133,-0.983014274296711,1.7806581339031,-0.0926625381704201,1239097.78073704,1032581.48394753,33833.8284915706,1.81454903950015,0.117334554781508,0.324302534348172,0.197154805199471,0.697575546574664,0.117575546574664
0.7,NaN,NaN,0.0419784149417428,0,-0.291312612451591,-0.987880397016832,1.54009849780753,-0.132346799046031,1202505.25570046,1002087.71308371,29331.259510519,1.7806581339031,0.117334554781508,0.290639561167139,0.193784189972285,0.703581632294831,0.123581632294831
0.75,NaN,NaN,0.0419784149417428,1,-0.309506921212638,-0.991358532960176,1.20153100770341,-0.142646148341596,904818.411185255,754015.342654379,3071.65464234563,1.54009849780753,0.117334554781508,0.355114553891821,0.167751701845939,0.698723471544718,0.118723471544718
0.8,NaN,NaN,0.0419784149417428,0,-0.327477394808705,-0.993841590757045,0.838907981810907,-0.128382035137316,553941.730346369,461618.108621974,25962.3957092276,1.20153100770341,0.117334554781508,0.358125967907191,0.151914261113062,0.69763060500511,0.11763060500511
0.85,1,0.25,0.0212747738993175,1,-0.345214034135521,-0.995612733286583,0.513758354058563,-0.105598194842824,271735.905862636,226446.588218863,0,0.838907981810907,0.117375168748501,0.364184301294489,0.139596145576051,0.677116424922679,0.0971164249226789
0.9,1,0.05,0.0129112033787726,1,-0.362707467578051,-0.996875298099342,0.247194075181209,-0.0779416401942812,102932.599491812,85777.1662431763,0,0.513758354058563,0.11738561827362,0.366856324201073,0.132682767089579,0.680427194102331,0.100427194102331
