Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,chi,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,-0.4,-0.4,33031.3246222521,0,27526.1038518767,0,0.1,0.0259253882212252,0.231198750483175,0,0
0.01,1,0.01,0,0,0,0,-0.4,-0.4,33031.3246222521,0,0,0,0.100002422234466,0.0237489214933259,0.238513116021565,0,0
0.02,NaN,NaN,0,0,0,0,-0.4,-0.4,33031.3246222521,0,0,0,0.100002422234466,0.0175847681757419,0.248604204685235,0,0
0.03,NaN,NaN,0,0,0,0,-0.4,-0.4,33031.3246222521,0,0,0,0.100002422234466,0.00971229699513657,0.234995693938961,0,0
0.04,NaN,NaN,0,0,0,0,-0.4,-0.4,33031.3246222521,0,0,0,0.100002422234466,0.00397745784405352,0.248784646487846,0,0
0.05,NaN,NaN,0,1,-0.119427298534386,-0.7698665359089,-0.5996,-0.35602478530718,33031.3246222521,27526.1038518767,0,-0.4,0.100002422234466,0.00169187138311749,0.241470356419063,0.692483195022714,0.112483195022714
0.06,1,0.05,-0.00959058442286114,1,-0.139092447878458,-0.830578868538528,-0.77701279265359,-0.314454520894458,74555.2586607931,62129.3822173276,0,-0.5996,0.100003094748592,0.00714696552789303,0.245842401743784,0.709314748290509,0.129314748290509
0.07,NaN,NaN,-0.00959058442286114,1,-0.158648504297499,-0.876393067472823,-0.933463040308165,-0.275269082560725,126897.013186126,105747.510988439,6054.70949536746,-0.77701279265359,0.100003094748592,0.0147034716302185,0.24360759104649,0.695818111774325,0.115818111774325
0.08,1,0.02,-0.0121162731451378,0,-0.17808086811733,-0.910424593900427,-1.07016411854822,-0.238528706633022,185166.740781449,154305.617317874,0,-0.933463040308165,0.100004984303089,0.0179888159571069,0.278741443649053,0.709642808461884,0.129642808461884
0.09,NaN,NaN,-0.0121162731451378,1,-0.197375320224904,-0.935409070603099,-1.18835830774618,-0.204008545552704,245432.19022486,204526.825187383,3619.7040969467,-1.07016411854822,0.100004984303089,0.0235950998695068,0.269661353702993,0.695138936315351,0.115138936315351
0.1,NaN,NaN,-0.0121162731451378,1,-0.216518061493029,-0.953594123708712,-1.28917422221479,-0.171761013608486,304635.189703996,253862.658086663,12612.7645669499,-1.18835830774618,0.100004984303089,0.0334389490915025,0.242064909706368,0.708197786016656,0.128197786016656
0.11,NaN,NaN,-0.0121162731451378,1,-0.235495749538498,-0.966747287784237,-1.37376555479682,-0.141731879355992,360399.553408641,300332.961173868,24620.7766684856,-1.28917422221479,0.100004984303089,0.0365577736766572,0.277690186187755,0.708385774673069,0.128385774673069
0.12,1,0.04,-0.0227327495426249,1,-0.254295532626391,-0.976217736711226,-1.44325772892002,-0.113861592149176,411002.552171798,342502.126809832,0,-1.37376555479682,0.100008311947277,0.0448609293065831,0.239288046230016,0.710888541346406,0.130888541346406
0.13,NaN,NaN,-0.0227327495426249,1,-0.272905080563133,-0.983014274296711,-1.49874526726568,-0.0880852690032501,455257.689843247,379381.408202706,962.055579207984,-1.44325772892002,0.100008311947277,0.0469446954476046,0.272703495448962,0.714547187119472,0.134547187119472
0.14,NaN,NaN,-0.0227327495426249,0,-0.291312612451591,-0.987880397016832,-1.54128915650004,-0.0645166169256945,492428.293484235,410356.911236863,3131.37593302504,-1.49874526726568,0.100008311947277,0.0519093165657406,0.241344011933506,0.718203214507462,0.138203214507462
0.15,NaN,NaN,-0.0227327495426249,0,-0.309506921212638,-0.991358532960176,-1.57200617580639,-0.0428793911635509,522139.442146061,435116.201788384,5666.63780597629,-1.54128915650004,0.100008311947277,0.0583823414786921,0.260097906626051,0.696505213357649,0.116505213357649
0.16,NaN,NaN,-0.0227327495426249,1,-0.327477394808705,-0.993841590757045,-1.59187386521236,-0.0229184799632611,544400.47345188,453667.0612099,8004.61454424257,-1.57200617580639,0.100008311947277,0.0648858365099707,0.245560077269167,0.715010482236871,0.135010482236871
0.17,NaN,NaN,-0.0227327495426249,1,-0.345214034135521,-0.995612733286583,-1.60174123132878,-0.00475632287634458,559391.773635207,466159.811362673,9795.33191442502,-1.59187386521236,0.100008311947277,0.0735832624042537,0.268408065518652,0.713024121001174,0.133024121001174
0.18,NaN,NaN,-0.0227327495426249,1,-0.362707467578051,-0.996875298099342,-1.60251765153562,0.0116864293351695,567390.484058088,472825.40338174,10847.6579058006,-1.60174123132878,0.100008311947277,0.0691463200815693,0.241019507891367,0.719061530666977,0.139061530666977
0.19,NaN,NaN,-0.0227327495426249,1,-0.379948962255225,-0.997774927934279,-1.5950719192165,0.0264927533666209,568889.67286326,474074.72738605,11112.779953795,-1.60251765153562,0.100008311947277,0.0774288871560272,0.270579997479426,0.698101455443935,0.118101455443936
0.2,NaN,NaN,-0.0227327495426249,1,-0.396930432005078,-0.99841575172321,-1.58023047061397,0.0397425663624939,564478.886134188,470399.07177849,10642.5405017532,-1.5950719192165,0.100008311947277,0.0867856633642474,0.268612035744691,0.698967495045827,0.118967495045827
0.21,NaN,NaN,-0.0227327495426249,0,-0.413644442187135,-0.998872121582616,-1.55877895696211,0.051343286936958,554808.138715901,462340.115596584,9560.56174483075,-1.58023047061397,0.100008311947277,0.0861933265816074,0.241221373765478,0.721376659510786,0.141376659510786
0.22,NaN,NaN,-0.0227327495426249,0,-0.430084211401979,-0.999197079104834,-1.53154853453667,0.0615694203174571,540550.337629211,450458.614691009,8036.26471013699,-1.55877895696211,0.100008311947277,0.0910828688107402,0.23734122881475,0.708070783606162,0.128070783606162
0.23,NaN,NaN,-0.0227327495426249,1,-0.44624361024878,-0.999428438598316,-1.49923227584341,0.0706715378787274,522467.656428554,435389.713690461,6277.33458289049,-1.53154853453667,0.100008311947277,0.113760040738806,0.224208614026085,0.709855915169634,0.129855915169634
0.24,NaN,NaN,-0.0227327495426249,1,-0.46211715726001,-0.99959314604389,-1.4623972746282,0.0785394569168378,501240.592188721,417700.493490601,4493.6255156469,-1.49923227584341,0.100008311947277,0.0985108510646176,0.246119298098025,0.704233671101655,0.124233671101655
