Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,chi,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,-0.4,-0.4,28681908.6893823,0,286819.086893823,0,0.1,0.0288118112889632,0.272210371030549,0,0
0.05,1,0.05,-0.000991740440881882,1,-0.0399786803111636,-0.327477394808705,-1.338,-0.180002384287385,28681908.6893823,286819.086893823,0,-0.4,0.0987018249814558,0.00186337367669568,0.242236812799872,0.704885649949303,0.124885649949303
0.1,1,0.05,-0.00372631258619124,1,-0.0599281035291435,-0.469945198933038,-1.78131596071846,-0.0231132520170412,339410414.081628,3394104.14081628,0,-1.338,0.0902762621152186,0.0296623813573321,0.239472584074837,0.701268699277987,0.121268699277987
0.15,NaN,NaN,-0.00372631258619124,1,-0.0798297691111314,-0.591519395431817,-1.83019251095747,0.0774938341624546,613200854.715402,6132008.54715403,408003.582139657,-1.78131596071846,0.0902762621152186,0.056615994109683,0.2425264029157,0.695014939752355,0.115014939752355
0.2,NaN,NaN,-0.00372631258619124,1,-0.0996679946249558,-0.69106946983293,-1.62730696299655,0.130238132183727,653498710.867345,6534987.10867345,523024.562421284,-1.83019251095747,0.0902762621152186,0.0966363776169206,0.268279788708283,0.697440131903628,0.117440131903628
0.25,NaN,NaN,-0.00372631258619124,1,-0.119427298534386,-0.7698665359089,-1.29357509772225,0.146463159491761,520145634.281136,5201456.34281136,209318.417442447,-1.62730696299655,0.0902762621152186,0.107710473454579,0.244500419586998,0.703496634017995,0.123496634017995
0.3,NaN,NaN,-0.00372631258619124,0,-0.139092447878458,-0.830578868538528,-0.920949323504236,0.137724019002683,330698817.163334,3306988.17163334,18702.2127688285,-1.29357509772225,0.0902762621152186,0.147686268790852,0.223792031686268,0.717087230670229,0.137087230670229
0.35,1,0.25,-0.00238546742296039,0,-0.158648504297499,-0.876393067472823,-0.572034529380006,0.114790202305405,168779008.557197,1687790.08557197,0,-0.920949323504236,0.0887282984806285,0.153559390330697,0.250429277911971,0.701074446178247,0.121074446178248
0.4,1,0.05,-0.00145630556395017,1,-0.17808086811733,-0.910424593900427,-0.282198850969592,0.0859694006972865,65773959.094001,657739.59094001,0,-0.572034529380006,0.0875286711729863,0.185754006875741,0.240878444549742,0.698473531088462,0.118473531088462
0.45,1,0.05,-0.000702430319969226,1,-0.197375320224904,-0.935409070603099,-0.0658643549715279,0.0570653319058606,16356409.1642972,163564.091642972,0,-0.282198850969592,0.0866872927652864,0.216690140662264,0.223985261849516,0.702433742433992,0.122433742433992
