Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,chi,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,-4,-4,1245477.20114533,0,1163997.38424797,0,0.3,0.0305165434031192,0.25689623893054,0,0
0.1,1,0.1,-0.252367336951259,1,-0.0399786803111636,-0.327477394808705,-22.76,0.401783321386352,1245477.20114533,1163997.38424797,0,-4,0.300087785371031,0.0306609318266469,0.228215060843806,0.702993366214103,0.122993366214103
0.2,1,0.1,-1.58357632391797,0,-0.0599281035291435,-0.469945198933038,-20.5234833930682,2.1195423676082,43158157.0576461,40334726.2220992,0,-22.76,0.302216328175058,0.0937822911330975,0.252658209008308,0.714825301949582,0.134825301949582
0.3,NaN,NaN,-1.58357632391797,1,-0.0798297691111314,-0.591519395431817,-9.72053672109654,2.05344530968245,35601012.8424111,33271974.6190758,363000.031949087,-20.5234833930682,0.302216328175058,0.136357739255613,0.25121086565776,0.707026435668421,0.127026435668421
0.4,1,0.2,-0.636215298779907,0,-0.0996679946249558,-0.69106946983293,0.64389519452668,0.910325331883948,8145512.34669013,7612628.36139264,0,-9.72053672109654,0.303172498634425,0.172922327739585,0.238145828712737,0.707555251479553,0.127555251479553
0.5,1,0.1,0.0594045696042016,0,-0.119427298534386,-0.7698665359089,5.18908290200115,-0.0565514741125861,33289.6008626052,31111.7765071076,0,0.64389519452668,0.303795384637019,0.248608222833628,0.22823421722028,0.693346761274398,0.113346761274398
0.6,1,0.1,0.349904483498251,1,-0.139092447878458,-0.830578868538528,4.85443470241821,-0.518187382646588,2240933.7858121,2094330.64094589,0,5.18908290200115,0.303917077941615,0.275141833782214,0.208118948349589,0.691576876192031,0.111576876192031
0.7,NaN,NaN,0.349904483498251,1,-0.158648504297499,-0.876393067472823,2.21495344216109,-0.484843503768984,1992972.17757225,1862590.82016098,8371.68895456972,4.85443470241821,0.303917077941615,0.348419898497063,0.165396967937725,0.707069024262566,0.127069024262566
0.8,1,0.2,0.139937710409126,1,-0.17808086811733,-0.910424593900427,-0.231413611105443,-0.220935063293782,423548.73251305,395839.936928084,0,2.21495344216109,0.303966201544381,0.391793862848533,0.173785131753215,0.684405876402324,0.104405876402324
0.9,1,0.1,-0.0193578681694973,1,-0.197375320224904,-0.935409070603099,-1.3337747914633,0.0236132345857334,4163.05737367196,3890.70782586164,0,-0.231413611105443,0.304000748087674,0.373038250652207,0.13338791938499,0.687891444656623,0.107891444656623
1,1,0.1,-0.0877502204081387,0,-0.216518061493029,-0.953594123708712,-1.20237087062,0.126534903677474,148213.223211533,138517.031038816,0,-1.3337747914633,0.304007910268741,0.419328797310358,0.117660188590736,0.6759344273391,0.0959344273390999
1.1,NaN,NaN,-0.0877502204081387,0,-0.235495749538498,-0.966747287784237,-0.55767264352643,0.113376453241941,122232.357798259,114235.848409588,1252.86360022014,-1.20237087062,0.304007910268741,0.466722585574036,0.108141324464832,0.67142814547075,0.0914281454707498
1.2,1,0.2,-0.0340566194942644,1,-0.254295532626391,-0.976217736711226,0.0147863491185417,0.0560334785520521,26769.4529808243,25018.1803559106,0,-0.55767264352643,0.304011266416146,0.475049352250972,0.0780902347069154,0.658777324092097,0.0787773240920972
1.3,1,0.1,0.00185995222025452,1,-0.272905080563133,-0.983014274296711,0.294805878387617,-0.00129404110003518,32.0696372897039,29.9716236352372,0,0.0147863491185417,0.304013155116923,0.452718303986704,0.0568049185277156,0.653924187921972,0.0739241879219725
1.4,1,0.1,0.0184241908178367,1,-0.291312612451591,-0.987880397016832,0.285387614103565,-0.0293438829325851,7225.5305556956,6752.83229504262,0,0.294805878387617,0.304013615712863,0.483287593273544,0.0443395942636682,0.639898160944156,0.0598981609441557
1.5,NaN,NaN,0.0184241908178367,0,-0.309506921212638,-0.991358532960176,0.135814323299603,-0.024868257431499,6883.29057300703,6432.9818439318,9.44986649524374,0.285387614103565,0.304013615712863,0.434336590859061,0.0213282583393831,0.634600082376935,0.0546000823769351
1.6,1,0.2,0.00785986180657081,1,-0.327477394808705,-0.993841590757045,0.0101148929091123,-0.0135082541499676,1581.68410908177,1478.20944773997,0,0.135814323299603,0.304013755934954,0.421976855225999,0.00319706360123957,0.620912470880597,0.0409124708805974
1.7,1,0.1,0.000408517930435767,1,-0.345214034135521,-0.995612733286583,-0.0575275267698168,-0.000982807251184485,11.73464188218,10.9669550300748,0,0.0101148929091123,0.304013846842036,0.474640842588194,0.0159431471629923,0.626726354647792,0.0467263546477924
1.8,1,0.1,-0.00356225543288656,0,-0.362707467578051,-0.996875298099342,-0.061866287758041,0.0073033932924223,274.210850741812,256.271823123189,0,-0.0575275267698168,0.30401387362004,0.413162000216259,0.0362475376813445,0.630566858688225,0.0505668586882248
1.9,NaN,NaN,-0.00356225543288656,0,-0.379948962255225,-0.997774927934279,-0.0247306584183491,0.0077838569884722,324.337077672967,303.118764180343,2.40941844735104,-0.061866287758041,0.30401387362004,0.39793130797162,0.0528918570045646,0.636316990346105,0.0563169903461046
2,1,0.2,-0.00142969462071863,1,-0.396930432005078,-0.99841575172321,0.0144359331081954,0.0024168570049734,53.8181590957594,50.2973449493079,0,-0.0247306584183491,0.304013879500668,0.382933333863835,0.0701247269454101,0.642916726477057,0.0629167264770572
2.1,1,0.1,0.000965041613698456,0,-0.413644442187135,-0.998872121582616,0.0263758588019804,0.000664355767459368,16.9014706681701,15.7957669795982,0,0.0144359331081954,0.304013888399522,0.356880509581202,0.0792460976253642,0.655688879550316,0.0756888795503164
2.2,NaN,NaN,0.000965041613698456,1,-0.430084211401979,-0.999197079104834,0.0294338790512574,-0.00280959817535925,57.5708320896253,53.8045159716124,11.3486225012812,0.0263758588019804,0.304013888399522,0.33991338096329,0.101688424799958,0.649188172870361,0.0691881728703611
2.3,NaN,NaN,0.000965041613698456,0,-0.44624361024878,-0.999428438598316,0.0150915493839486,-0.000881558048110697,73.1247109765823,68.3408513799835,18.6287800277578,0.0294338790512574,0.304013888399522,0.295420923933515,0.104010528677638,0.653575934329228,0.0735759343292278
