Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,chi,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,-4,-4,374377588.011454,0,24958505.8674303,0,0.3,0.0273938738917573,0.266253685609506,0,0
0.1,1,0.1,-0.0182448645926299,0,-0.0399786803111636,-0.327477394808705,-22.76,0.400080315984476,374377588.011454,24958505.8674303,0,-4,0.290179395484337,0.0288985849420499,0.248951684133421,0.713372208447538,0.133372208447538
0.2,1,0.1,-0.112690984331747,0,-0.0599281035291435,-0.469945198933038,-20.5319984200776,2.26663090156683,12997971137.3821,866531409.158807,0,-22.76,0.681835564879617,0.086349792036562,0.271732277817743,0.713648700727453,0.133648700727453
0.3,NaN,NaN,-0.112690984331747,0,-0.0798297691111314,-0.591519395431817,-8.99352392804272,2.04382556764216,10745864275.1308,716390951.675383,7723825.00289757,-20.5319984200776,0.681835564879617,0.129085986934901,0.240779311889281,0.700047880051186,0.120047880051186
0.4,1,0.2,-0.0417557297741304,1,-0.0996679946249558,-0.69106946983293,1.3155391494485,0.901177812546033,2107070995.8197,140471399.721313,0,-8.99352392804272,0.617496736464825,0.188471308714551,0.237724650182973,0.706995044377419,0.126995044377419
0.5,1,0.1,0.00757768622165945,1,-0.119427298534386,-0.7698665359089,5.80827282068418,-0.129733573722783,40493650.5205062,2699576.70136708,0,1.3155391494485,0.57720403005772,0.217402580423929,0.223988872254952,0.704095171525133,0.124095171525133
0.6,1,0.1,0.0279016527382901,1,-0.139092447878458,-0.830578868538528,5.10152222386342,-0.579003795564692,847152404.147818,56476826.9431878,0,5.80827282068418,0.569093360390442,0.264797967294328,0.182889067751585,0.693230505925196,0.113230505925196
0.7,NaN,NaN,0.0279016527382901,1,-0.158648504297499,-0.876393067472823,2.15548802380133,-0.508322131653438,663769710.737053,44251314.0491369,780565.104293966,5.10152222386342,0.569093360390442,0.336989314371433,0.181000638542243,0.68976411321743,0.10976411321743
0.8,1,0.2,0.00970855762249406,0,-0.17808086811733,-0.910424593900427,-0.407677514703875,-0.212644219232212,121237641.465588,8082509.43103917,0,2.15548802380133,0.563974673689092,0.366896756553545,0.15148245875868,0.687453385183312,0.107453385183312
0.9,1,0.1,-0.00216737838175449,1,-0.197375320224904,-0.935409070603099,-1.4668218357179,0.0426043304421446,3919532.92557768,261302.195038512,0,-0.407677514703875,0.561348657182669,0.355392806112211,0.142605184105727,0.673661876727224,0.0936618767272243
1,NaN,NaN,-0.00216737838175449,0,-0.216518061493029,-0.953594123708712,-1.23913196515,0.148397892305572,54087819.3487701,3605854.62325134,1953465.47387619,-1.4668218357179,0.561348657182669,0.425617638987796,0.118680242035876,0.673962966029676,0.0939629660296762
1.1,NaN,NaN,-0.00216737838175449,1,-0.235495749538498,-0.966747287784237,-0.484751183970636,0.125716321316079,39204647.375489,2613643.15836594,1253666.81207416,-1.23913196515,0.561348657182669,0.451934583086606,0.111656884138644,0.663980849375217,0.0839808493752172
1.2,NaN,NaN,-0.00216737838175449,1,-0.254295532626391,-0.976217736711226,0.148677934449465,0.0502474357701522,6160294.44230975,410686.296153983,34945.8058103372,-0.484751183970636,0.561348657182669,0.453166418496128,0.0853311491555466,0.659928507471613,0.0799285074716136
1.3,1,0.4,0.000736407055444234,0,-0.272905080563133,-0.983014274296711,0.398428333955732,-0.01293490246458,529244.063430822,35282.9375620548,0,0.148677934449465,0.561233661682391,0.424330582562376,0.0604642543971889,0.654562859017876,0.0745628590178761
1.4,NaN,NaN,0.000736407055444234,0,-0.291312612451591,-0.987880397016832,0.329769538293274,-0.037932280715535,3992910.7219594,266194.048130626,108876.917064876,0.398428333955732,0.561233661682391,0.480099048533895,0.0457093210897616,0.640232277828924,0.0602322778289239
1.5,NaN,NaN,0.000736407055444234,1,-0.309506921212638,-0.991358532960176,0.136810439332666,-0.0312727293996038,2774323.45064478,184954.896709652,60182.273975007,0.329769538293274,0.561233661682391,0.447063129519591,0.0234513785038895,0.633438842995314,0.0534388429953137
1.6,NaN,NaN,0.000736407055444234,1,-0.327477394808705,-0.993841590757045,-0.0209213120586794,-0.011969677735937,487719.660812014,32514.6440541342,1027.72213825902,0.136810439332666,0.561233661682391,0.442259191425715,0.00323392828344083,0.623563698951542,0.0435636989515417
1.7,1,0.4,-0.00010444892044086,1,-0.345214034135521,-0.995612733286583,-0.0805604876177779,0.00382688759313468,10291.3871533221,686.092476888142,0,-0.0209213120586794,0.561222878829005,0.413768776245612,0.0165571650156134,0.625529106441388,0.0455291064413881
1.8,1,0.1,-0.000349276316961106,0,-0.362707467578051,-0.996875298099342,-0.0606204447759267,0.00992798728881095,163650.75648461,10910.0504323073,0,-0.0805604876177779,0.561221413107299,0.373393586369983,0.0359592947646986,0.62971076798115,0.0497107679811501
1.9,NaN,NaN,-0.000349276316961106,0,-0.379948962255225,-0.997774927934279,-0.0103743038841127,0.00798057060185331,94584.3283545552,6305.62189030368,636.7261345402,-0.0606204447759267,0.561221413107299,0.386089478141652,0.0458470474686681,0.639035222629105,0.0590352226291052
2,1,0.2,-3.78668476323925e-05,1,-0.396930432005078,-0.99841575172321,0.029632292163995,0.00288236876199524,3174.48000230383,211.632000153588,0,-0.0103743038841127,0.56121949542845,0.348728054398536,0.0650709976923155,0.650842970332482,0.0708429703324822
2.1,1,0.1,0.000138061068612261,1,-0.413644442187135,-0.998872121582616,0.0437478130523313,-0.00110346809642664,21648.7622920117,1443.25081946744,0,0.029632292163995,0.561218852873375,0.333993735647175,0.0851895414943534,0.65243641432178,0.0724364143217803
2.2,NaN,NaN,0.000138061068612261,0,-0.430084211401979,-0.999197079104834,0.0377929944396748,-0.00235850600320658,48082.297125011,3205.48647500074,349.844497196754,0.0437478130523313,0.561218852873375,0.340529432062797,0.0989148836635537,0.656373478056711,0.076373478056711
2.3,NaN,NaN,0.000138061068612261,1,-0.44624361024878,-0.999428438598316,0.0256225344792451,-0.00197551757905431,36106.6201791151,2407.10801194101,126.813867080126,0.0377929944396748,0.561218852873375,0.327464165262567,0.102786748615364,0.662345177797117,0.0823451777971171
2.4,NaN,NaN,0.000138061068612261,1,-0.46211715726001,-0.99959314604389,0.0154887212391811,-0.000816930234589852,16637.9028837887,1109.19352558591,25.3638162054156,0.0256225344792451,0.561218852873375,0.252182200222224,0.1148181863141,0.653504438056769,0.0735044380567689
2.5,1,0.4,6.96344837717605e-05,0,-0.477700012168498,-0.999710396447816,0.01124918285384,0.00030379824824692,6054.61643342124,403.641095561416,0,0.0154887212391811,0.561218777054289,0.210105139883976,0.108468454948161,0.653864876474457,0.0738648764744569
2.6,NaN,NaN,6.96344837717605e-05,1,-0.492987966675324,-0.999793860182703,0.0126556822665362,0.000495695423335599,3152.81208198531,210.187472132354,31.4444346787311,0.01124918285384,0.561218777054289,0.185201157836583,0.139358220392275,0.663099067648077,0.0830990676480767
2.7,NaN,NaN,6.96344837717605e-05,1,-0.507977432897896,-0.999853271436724,0.0150076025605489,0.000323285734248886,3983.02724052548,265.535149368365,14.6502362657883,0.0126556822665362,0.561218777054289,0.15501885160728,0.135320196172295,0.659648494024828,0.0796484940248284
