Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,chi,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,-4,-4,300.320421025401,0,207.117531741656,0,0.8,0.0268710636449215,0.256517570637026,0,0
0.1,1,0.1,-1.63381478108727e-06,1,-0.0399786803111636,-0.327477394808705,-22.76,0.399999998371264,300.320421025401,207.117531741656,0,-4,0.799999948220626,0.0289168646039922,0.232247415035869,0.711375272165806,0.131375272165806
0.2,NaN,NaN,-1.63381478108727e-06,1,-0.0599281035291435,-0.469945198933038,-20.5324000081437,2.27600000007802,4912.07057236767,3387.63487749495,2426.62217898445,-22.76,0.799999948220626,0.0970380721342755,0.271722811333168,0.721878131221752,0.141878131221752
0.3,NaN,NaN,-1.63381478108727e-06,0,-0.0798297691111314,-0.591519395431817,-8.94707600767214,2.05323983743289,4045.6866500963,2790.12872420434,2041.75492530078,-20.5324000081437,0.799999948220626,0.154361491067991,0.239501790658361,0.705982355312074,0.125982355312074
0.4,NaN,NaN,-1.63381478108727e-06,1,-0.0996679946249558,-0.69106946983293,1.40859393956903,0.894707601210687,798.565773744534,550.735016375541,395.981237534084,-8.94707600767214,0.799999948220626,0.183257580802595,0.214056074100073,0.705888706514015,0.125888706514015
0.5,1,0.4,-7.4668549120002e-07,1,-0.119427298534386,-0.7698665359089,5.86804600622677,-0.140859393221252,26.2331504384947,18.0918278886171,0,1.40859393956903,0.799999862045081,0.236797226593258,0.220034280162811,0.706514757781057,0.126514757781058
0.6,NaN,NaN,-7.4668549120002e-07,1,-0.139092447878458,-0.830578868538528,5.10506858005824,-0.58680459952691,326.609571795441,225.24798054858,136.980185363933,5.86804600622677,0.799999862045081,0.25261074614766,0.200582405760529,0.711529482487661,0.131529482487661
0.7,NaN,NaN,-7.4668549120002e-07,0,-0.158648504297499,-0.876393067472823,2.11999489662311,-0.510506932674374,250.328709817481,172.640489529298,103.528118392102,5.10506858005824,0.799999862045081,0.348214832563028,0.188350945224162,0.69886821243496,0.11886821243496
0.8,NaN,NaN,-7.4668549120002e-07,1,-0.17808086811733,-0.910424593900427,-0.453739715714985,-0.211999487752029,45.0593305977633,31.0754004122505,16.0148835702227,2.11999489662311,0.799999862045081,0.338748468624582,0.154911017467689,0.699811530876598,0.119811530876598
0.9,1,0.4,2.39877029083956e-07,1,-0.197375320224904,-0.935409070603099,-1.50919975731798,0.0453739739086135,2.36777700849343,1.63294966102995,0,-0.453739715714985,0.799999854418573,0.361232825029138,0.136112630480246,0.689321554540282,0.109321554540282
1,NaN,NaN,2.39877029083956e-07,0,-0.216518061493029,-0.953594123708712,-1.26723789020173,0.150919999719501,21.6113751306555,14.9043966418314,7.71310323973951,-1.50919975731798,0.799999854418573,0.417662552126261,0.135436632077097,0.673506769014354,0.093506769014354
1.1,NaN,NaN,2.39877029083956e-07,1,-0.235495749538498,-0.966747287784237,-0.499965512702212,0.126723792249893,15.4396523400118,10.6480360965598,5.17793491428047,-1.26723789020173,0.799999854418573,0.430141612033596,0.102048757182406,0.674935969734487,0.0949359697344867
1.2,NaN,NaN,2.39877029083956e-07,1,-0.254295532626391,-0.976217736711226,0.138653103674277,0.0499965548830418,2.52073747489046,1.73843963785549,0.75149115090917,-0.499965512702212,0.799999854418573,0.477825281822605,0.0914559421025401,0.65655005806839,0.0765500580683896
