Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,chi,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,-4,-4,12357400.4048384,0,8522345.10678509,0,0.8,0.0270643388522565,0.255894955750306,0,0
0.1,1,0.1,-0.0812590657048062,1,-0.0399786803111636,-0.327477394808705,-22.76,0.401723104372366,12357400.4048384,8522345.10678509,0,-4,0.797884296744942,0.0280606061557197,0.252966870447549,0.698187511579426,0.118187511579426
0.2,NaN,NaN,-0.0812590657048062,1,-0.0599281035291435,-0.469945198933038,-20.5237844781382,2.2776316164926,431384049.503567,297506241.036942,210378302.50963,-22.76,0.797884296744942,0.0868257272246961,0.243700834702755,0.700712230382828,0.120712230382829
0.3,NaN,NaN,-0.0812590657048062,0,-0.0798297691111314,-0.591519395431817,-8.9303885508938,2.04614736531091,356557835.703799,245901955.657792,168282165.38754,-20.5237844781382,0.797884296744942,0.12803472584751,0.237553958795319,0.696161947387039,0.116161947387039
0.4,NaN,NaN,-0.0812590657048062,1,-0.0996679946249558,-0.69106946983293,1.38965216116967,0.894502898026211,69050182.7122447,47620815.663617,18721429.7811562,-8.9303885508938,0.797884296744942,0.188025954246409,0.202265076227577,0.714048035609979,0.134048035609979
0.5,1,0.4,0.0359511101429552,1,-0.119427298534386,-0.7698665359089,5.84827012968903,-0.137570785857912,1496454.95981831,1032037.90332297,0,1.38965216116967,0.794125108266162,0.258273002997557,0.227465666572881,0.700360144341138,0.120360144341138
0.6,NaN,NaN,0.0359511101429552,1,-0.139092447878458,-0.830578868538528,5.10193349910258,-0.583492447952221,28510397.389374,19662343.0271545,11875756.4577301,5.84827012968903,0.794125108266162,0.265374110625762,0.190414628052029,0.697642435684961,0.117642435684961
0.7,NaN,NaN,0.0359511101429552,0,-0.158648504297499,-0.876393067472823,2.13345192435045,-0.504676547134953,22047210.432133,15204972.7118159,8528100.95930135,5.10193349910258,0.794125108266162,0.316007871320967,0.1673104997468,0.692937939426355,0.112937939426355
0.8,NaN,NaN,0.0359511101429552,0,-0.17808086811733,-0.910424593900427,-0.411265330567821,-0.207816354035079,3946720.84477768,2721876.44467426,521491.383146433,2.13345192435045,0.794125108266162,0.363661129572128,0.166780375986265,0.693218773995354,0.113218773995354
0.9,1,0.4,-0.0102255324582026,1,-0.197375320224904,-0.935409070603099,-1.44623444743754,0.0422976850693859,132149.758976692,91137.7648115116,0,-0.411265330567821,0.793708735164253,0.37036920592235,0.145943473658826,0.694070270709037,0.114070270709037
1,NaN,NaN,-0.0102255324582026,0,-0.216518061493029,-0.953594123708712,-1.22028367761623,0.145533338069891,1745203.52317341,1203588.63667132,641215.376556244,-1.44623444743754,0.793708735164253,0.381669711910808,0.117950801202932,0.673340479749003,0.093340479749003
1.1,NaN,NaN,-0.0102255324582026,1,-0.235495749538498,-0.966747287784237,-0.480414150490614,0.123055418937064,1262394.771348,870617.083688273,408564.014090695,-1.22028367761623,0.793708735164253,0.409029149756667,0.0953606323514668,0.666087735676574,0.0860877356765745
1.2,NaN,NaN,-0.0102255324582026,1,-0.254295532626391,-0.976217736711226,0.139667085699613,0.0489838921783315,200919.827404076,138565.398209707,10851.3172980116,-0.480414150490614,0.793708735164253,0.477845673828566,0.0755522071983659,0.661236816106795,0.0812368161067951
1.3,1,0.4,0.00314839567951077,1,-0.272905080563133,-0.983014274296711,0.383189875734274,-0.0131096455585175,15449.9771901272,10655.1566828463,0,0.139667085699613,0.793669452298503,0.437115705731607,0.0572397493165784,0.651959052382827,0.0719590523828275
