Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,-4,-4,5227303.8086514,0,6534129.76081425,0,0.028513878277769,0.242576051482653,0,0
0.1,1,0.1,-0.194955531403675,0,-0.0399786803111636,-0.327477394808705,-22.76,0.382409249303371,5227303.8086514,6534129.76081425,0,-4,0.031865765520212,0.281296607967898,0.702356497328847,0.122356497328847
0.2,NaN,NaN,-0.194955531403675,0,-0.0599281035291435,-0.469945198933038,-20.6203537534831,2.25840444685963,182397169.073291,227996461.341614,161217846.926803,-22.76,0.0805074351502319,0.241907654253587,0.718073560626493,0.138073560626493
0.3,NaN,NaN,-0.194955531403675,1,-0.0798297691111314,-0.591519395431817,-9.12212798165015,2.06331172578904,152163399.257848,190204249.07231,130404085.117823,-20.6203537534831,0.140945518903459,0.224516486688002,0.709457706055358,0.129457706055358
0.4,NaN,NaN,-0.194955531403675,1,-0.0996679946249558,-0.69106946983293,1.28565192711157,0.913373683316766,30449870.4619643,38062338.0774554,15299279.9593627,-9.12212798165015,0.202025330145461,0.236382103056553,0.702296043858694,0.122296043858694
0.5,1,0.4,0.0810949189762408,0,-0.119427298534386,-0.7698665359089,5.83966382442428,-0.118558112433871,540324.800727691,675406.000909614,0,1.28565192711157,0.265484779401117,0.21279586118227,0.705145384500146,0.125145384500146
0.6,NaN,NaN,0.0810949189762408,0,-0.139092447878458,-0.830578868538528,5.18847662401068,-0.573948875830483,12014464.4632659,15018080.5790824,9486959.93310246,5.83966382442428,0.273213357376563,0.190484292687568,0.692125223007536,0.112125223007536
0.7,NaN,NaN,0.0810949189762408,1,-0.158648504297499,-0.876393067472823,2.26684747861816,-0.51793395206925,9635728.09631894,12044660.1203987,7197850.6989206,5.18847662401068,0.292531694685267,0.174567279773505,0.697778356412937,0.117778356412937
0.8,NaN,NaN,0.0810949189762408,1,-0.17808086811733,-0.910424593900427,-0.345490756514271,-0.225812972987111,1881207.50343159,2351509.37928948,609818.586639132,2.26684747861816,0.334092938480017,0.151264020596154,0.684716442992021,0.104716442992021
0.9,1,0.4,-0.0210855920802345,0,-0.197375320224904,-0.935409070603099,-1.47110071388469,0.0343791653604509,39102.465070247,48878.0813378087,0,-0.345490756514271,0.422981955006979,0.153561362294208,0.690719836660163,0.110719836660163
