Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,-0.4,-0.4,283263.482244429,0,2832634.82244429,0,0.0281470111362585,0.279756427289228,0,0
0.05,1,0.05,-0.00137910898977445,1,-0.0399786803111636,-0.327477394808705,-1.38241396293886,-0.180007409653143,283263.482244429,2832634.82244429,0,-0.4,0.00179375597800644,0.231500822689019,0.699248833508252,0.119248833508252
0.1,1,0.05,-0.00361430420830727,1,-0.0599281035291435,-0.469945198933038,-1.52067165518165,-0.0208825206229461,3560282.90102563,35602829.0102563,0,-1.38241396293886,0.0279496768784925,0.273099940584287,0.713005113911259,0.133005113911259
0.15,NaN,NaN,-0.00361430420830727,1,-0.0798297691111314,-0.591519395431817,-1.41909053719475,0.065582932242331,4384688.63940424,43846886.3940424,477321.648152223,-1.52067165518165,0.0565204839970983,0.251479039521076,0.694887364318009,0.114887364318009
0.2,NaN,NaN,-0.00361430420830727,1,-0.0996679946249558,-0.69106946983293,-1.22234589599951,0.103726745378582,3856661.38002928,38566613.8002928,162480.182536222,-1.41909053719475,0.0871194050281817,0.232263244944349,0.721180320493714,0.141180320493714
0.25,NaN,NaN,-0.00361430420830727,0,-0.119427298534386,-0.7698665359089,-0.703361729654158,0.112799952278851,2880706.22896125,28807062.2896125,491258.219314962,-1.22234589599951,0.124759547065532,0.230505871837674,0.708095180167603,0.128095180167603
0.3,1,0.2,-0.0019810611150895,0,-0.139092447878458,-0.830578868538528,-0.327897076513157,0.0914690095663789,967081.49885308,9670814.9885308,0,-0.703361729654158,0.158441809946769,0.21903921751773,0.718357875295319,0.138357875295319
0.35,1,0.05,-0.000908719334645746,0,-0.158648504297499,-0.876393067472823,-0.0960231922948923,0.062083922642115,215146.420034037,2151464.20034037,0,-0.327897076513157,0.153700477727994,0.219174155908343,0.705381884739858,0.125381884739858
0.4,1,0.05,-0.000271892868382479,1,-0.17808086811733,-0.910424593900427,0.0776024827083109,0.0358357558029858,20069.9235718818,200699.235718818,0,-0.0960231922948923,0.185756378948649,0.202555659343226,0.708159992172869,0.128159992172869
0.45,1,0.05,0.000212778926692598,1,-0.197375320224904,-0.935409070603099,0.154510910118686,0.014025458424451,10812.4789720481,108124.789720481,0,0.0776024827083109,0.207943288167241,0.208984381571839,0.714522045073477,0.134522045073477
0.5,1,0.05,0.000470157578824543,1,-0.216518061493029,-0.953594123708712,0.188801320694911,-0.000746901335635609,44730.9393826948,447309.393826948,0,0.154510910118686,0.260553708134496,0.217241393157903,0.703326577178187,0.123326577178187
0.55,NaN,NaN,0.000470157578824543,1,-0.235495749538498,-0.966747287784237,0.155740287034588,-0.0098280453869905,67784.0116251386,677840.116251386,24312.4724229449,0.188801320694911,0.244303638712626,0.183053327803076,0.708924640213447,0.128924640213447
0.6,NaN,NaN,0.000470157578824543,1,-0.254295532626391,-0.976217736711226,0.101536157233933,-0.0127134475369175,46586.1352111541,465861.35211154,1147.52029679401,0.155740287034588,0.28743880659512,0.20229110049862,0.710064431047919,0.130064431047919
0.65,1,0.15,0.000289742912471676,1,-0.272905080563133,-0.983014274296711,0.0688177112337386,-0.0114714915475713,20022.0546340158,200220.546340158,0,0.101536157233933,0.295181585363969,0.187384589940601,0.697839143652852,0.117839143652852
0.7,1,0.05,0.000188227890758006,1,-0.291312612451591,-0.987880397016832,0.0308586877245744,-0.00919883518930227,9268.82938257621,92688.2938257621,0,0.0688177112337386,0.301265658100802,0.194538814166055,0.698114141370165,0.118114141370165
0.75,1,0.05,8.28150655970418e-05,1,-0.309506921212638,-0.991358532960176,0.00133961214905949,-0.00615507158337883,1913.08198070461,19130.8198070461,0,0.0308586877245744,0.30434508364198,0.177306289764761,0.688715385167354,0.108715385167354
0.8,1,0.05,-1.53955613634758e-07,1,-0.327477394808705,-0.993841590757045,-0.014077586293841,-0.00318434583844543,12.814056234919,128.14056234919,0,0.00133961214905949,0.369401910997122,0.163101785641557,0.688166137210914,0.108166137210914
0.85,1,0.05,-3.97606744133044e-05,1,-0.345214034135521,-0.995612733286583,-0.0205869942372891,-0.000918333455068419,364.518996781932,3645.18996781931,0,-0.014077586293841,0.346202221693248,0.164028674235426,0.690424675232361,0.110424675232361
0.9,1,0.05,-5.21546703270369e-05,1,-0.362707467578051,-0.996875298099342,-0.0182518702963825,0.000556079878820835,799.699264430211,7996.99264430211,0,-0.0205869942372891,0.358042751631121,0.148209539498934,0.682101505112452,0.102101505112452
