Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,-4,-4,20492827.0365377,0,204928270.365377,0,0.0291162530178828,0.246486055826113,0,0
0.05,1,0.05,-0.0237983774371712,0,-0.0399786803111636,-0.327477394808705,-13.8241396293886,-1.80118991887186,20492827.0365377,204928270.365377,0,-4,0.00155100186104744,0.266465196384155,0.705774970707505,0.125774970707505
0.1,1,0.05,-0.0617448011190982,1,-0.0599281035291435,-0.469945198933038,-15.2095061076676,-0.209387145242357,258061661.27689,2580616612.7689,0,-13.8241396293886,0.0281245085976479,0.233712888758147,0.712999675860464,0.132999675860464
0.15,NaN,NaN,-0.0617448011190982,1,-0.0798297691111314,-0.591519395431817,-14.1948176640713,0.655765511082051,318013869.414437,3180138694.14437,34791590.623315,-15.2095061076676,0.0559439309121467,0.226624317021629,0.701347897051933,0.121347897051934
0.2,NaN,NaN,-0.0617448011190982,1,-0.0996679946249558,-0.69106946983293,-12.2274403891026,1.03759119386936,279803691.675488,2798036916.75488,11877204.722473,-14.1948176640713,0.0924927319592117,0.235170788710737,0.710246861149842,0.130246861149843
0.25,NaN,NaN,-0.0617448011190982,1,-0.119427298534386,-0.7698665359089,-7.03594358623978,1.13016425417424,209035191.428128,2090351914.28128,35347553.1470744,-12.2274403891026,0.121211314228128,0.227645930373222,0.704905134754285,0.124905134754285
0.3,1,0.2,-0.0337821798171275,1,-0.139092447878458,-0.830578868538528,-3.27557610215792,0.916858908864832,70189774.9946845,701897749.946845,0,-7.03594358623978,0.155558169619042,0.240559156234141,0.716721230610586,0.136721230610586
0.35,1,0.05,-0.0155700399143577,1,-0.158648504297499,-0.876393067472823,-0.951448370114409,0.622160417157674,15578319.4546347,155783194.546347,0,-3.27557610215792,0.187069939886949,0.245879382454171,0.708227581931872,0.128227581931872
0.4,1,0.05,-0.00460721180236909,1,-0.17808086811733,-0.910424593900427,0.78642679754776,0.358640028574802,1432979.15336018,14329791.5336018,0,-0.951448370114409,0.186817276785119,0.238162386739929,0.7085018683195,0.1285018683195
0.45,1,0.05,0.00361270022829965,0,-0.197375320224904,-0.935409070603099,1.55451747000944,0.140179309421428,804682.970709251,8046829.70709252,0,0.78642679754776,0.217886956889409,0.227017417180089,0.700500619841986,0.120500619841986
0.5,1,0.05,0.00804703462534501,1,-0.216518061493029,-0.953594123708712,1.8971863054069,-0.00769428252893317,3282467.23714903,32824672.3714903,0,1.55451747000944,0.258105412721007,0.219758095923354,0.700169754125466,0.120169754125466
0.55,NaN,NaN,0.00804703462534501,1,-0.235495749538498,-0.966747287784237,1.56449721527616,-0.0987307626781922,4962615.60886142,49626156.0886142,1762073.13167887,1.8971863054069,0.287681378294353,0.211005640272468,0.6935796054419,0.1135796054419
0.6,NaN,NaN,0.00804703462534501,1,-0.254295532626391,-0.976217736711226,1.01998024447794,-0.127610846086181,3408969.43809659,34089694.3809659,81574.7134123213,1.56449721527616,0.288438733922975,0.214579182998273,0.689652908284828,0.109652908284828
