Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,chi,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,1,-1,2568190902.45037,0,513638180.490074,0,0.8,0.0336123149326586,0.238144831221683,0.19,0
0.01,1,0.01,0,0,0,0,1,-1,2568190902.45037,0,0,0,0.530818399976946,0.0341969497499383,0.286526185990024,0,0
0.02,NaN,NaN,0,0,0,0,1,-1,2568190902.45037,0,0,0,0.530818399976946,0.0233900535506265,0.277024644668561,0,0
0.03,NaN,NaN,0,0,0,0,1,-1,2568190902.45037,0,0,0,0.530818399976946,0.0181175764297619,0.248056976835638,0,0
0.04,NaN,NaN,0,0,0,0,1,-1,2568190902.45037,0,0,0,0.530818399976946,0.0133912858639967,0.282136933266689,0,0
0.05,NaN,NaN,0,0,0,0,1,-1,2568190902.45037,0,0,0,0.530818399976946,0.00729292858038701,0.271741304559965,0,0
0.06,NaN,NaN,0,0,0,0,1,-1,2568190902.45037,0,0,0,0.530818399976946,0.000544986596389665,0.258629481995359,0,0
0.07,NaN,NaN,0,1,-0.0199973337599309,0.0996679946249558,0.808106319430065,-0.951226,2568190902.45037,513638180.490074,0,1,0.530818399976946,0.00575032720350173,0.269594725325769,0.713110434723725,0.133110434723725
0.08,NaN,NaN,0,0,-0.0161607192759555,0.0948367350330599,0.653037181581991,-0.908321162726059,2272107534.97521,454421506.995042,2072049.50340141,0.808106319430065,0.530818399976946,0.011326337888271,0.259014762152839,0.713398364942883,0.133398364942884
0.09,NaN,NaN,0,0,-0.0130600010352605,0.0905831352733351,0.527724570733859,-0.870244316783419,2024328624.68297,404865724.936593,7538731.4111013,0.653037181581991,0.530818399976946,0.0188889671141431,0.250875239564013,0.695837502550198,0.115837502550198
0.1,NaN,NaN,0,1,-0.0105540995182295,0.0868054091641654,0.426456869213315,-0.836152049523535,1815452147.05627,363090429.411254,15513237.9055739,0.527724570733859,0.530818399976946,0.0221024746438418,0.281166438341524,0.719309661252677,0.139309661252677
0.11,NaN,NaN,0,1,-0.00852893056955031,0.083420883070237,0.344621649207608,-0.805360805822299,1638187375.34792,327637475.069584,25347986.5086655,0.426456869213315,0.530818399976946,0.0278741968941964,0.259692669909545,0.716272277674241,0.136272277674241
0.12,NaN,NaN,0,1,-0.00689232384309676,0.0803624105177824,0.27848997318151,-0.777316183691485,1486825321.56261,297365064.312522,36563556.4152895,0.344621649207608,0.530818399976946,0.0347848552660145,0.247279785523899,0.709443833495336,0.129443833495336
0.13,NaN,NaN,0,1,-0.00556974186766864,0.0775754390472982,0.225048416343345,-0.751568238943823,1356853050.59172,271370610.118344,48799791.3909889,0.27848997318151,0.530818399976946,0.039841150926861,0.253883535184539,0.718515060803963,0.138515060803963
0.14,NaN,NaN,0,1,-0.00450093793250037,0.0750156339129472,0.181861864392176,-0.727751488571335,1244670828.69554,248934165.739108,61781955.1864034,0.225048416343345,0.530818399976946,0.0440717649505344,0.253345458153828,0.717329962838201,0.137329962838201
0.15,NaN,NaN,0,1,-0.00363722124832413,0.0726469426651417,0.146962463303882,-0.705568747732614,1147382367.27254,229476473.454507,75297188.2487175,0.181861864392176,0.530818399976946,0.0574555184409674,0.276781754352404,0.715124851671116,0.135124851671116
0.16,NaN,NaN,0,0,-0.00293924080186627,0.0704400236694525,0.118761542295573,-0.684778069089067,1062638001.8274,212527600.36548,89178030.0733357,0.146962463303882,0.530818399976946,0.0553466285106912,0.259085391740305,0.711491399835044,0.131491399835044
0.17,NaN,NaN,0,0,-0.00237522637912451,0.0683709716870145,0.0959721524213912,-0.665182148586229,988516460.389591,197703292.077918,103290808.035319,0.118761542295573,0.530818399976946,0.0599289381929428,0.249312437003644,0.711443355905655,0.131443355905656
0.18,1,0.17,1.10593719876381e-05,1,-0.00191944069118785,0.0664202810705725,0.0775543028699012,-0.646619878647557,923434867.005828,184686973.401166,0,0.0959721524213912,0.460147484700205,0.0685059237252113,0.25739582058418,0.699807537005922,0.119807537005922
0.19,NaN,NaN,1.10593719876381e-05,1,-0.00155108481349647,0.0645720173557382,0.0626706344958362,-0.62895944288289,866080115.922356,173216023.184471,409883.937130115,0.0775543028699012,0.460147484700205,0.0683797311329806,0.236116050255128,0.720336041665804,0.140336041665804
0.2,NaN,NaN,1.10593719876381e-05,1,-0.00125341203352857,0.0628131386295341,0.0506430594968883,-0.612092660185855,815355650.036265,163071130.007253,1549657.33895258,0.0626706344958362,0.460147484700205,0.0726036077429355,0.233825511386266,0.699535553317468,0.119535553317468
0.21,NaN,NaN,1.10593719876381e-05,1,-0.00101286084357727,0.0611329387163356,0.0409234771687827,-0.595930524189952,770339867.341036,154067973.468207,3299934.48199613,0.0506430594968883,0.460147484700205,0.0917936606895891,0.273835711149501,0.696560463943367,0.116560463943368
