Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,chi,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,1,-1,2568190902.45037,0,513638180.490074,0,0.8,0.0388328688040875,0.260781673150819,0.19,0
0.01,1,0.01,0,0,0,0,1,-1,2568190902.45037,0,0,0,0.530818399976946,0.031778690472859,0.256864574312405,0,0
0.02,NaN,NaN,0,0,0,0,1,-1,2568190902.45037,0,0,0,0.530818399976946,0.0266134017334853,0.278716630982813,0,0
0.03,NaN,NaN,0,0,0,0,1,-1,2568190902.45037,0,0,0,0.530818399976946,0.0189976152300148,0.250831192653356,0,0
0.04,NaN,NaN,0,0,0,0,1,-1,2568190902.45037,0,0,0,0.530818399976946,0.0139699140051976,0.266776349471218,0,0
0.05,NaN,NaN,0,0,0,0,1,-1,2568190902.45037,0,0,0,0.530818399976946,0.0059652493845191,0.273081520975877,0,0
0.06,NaN,NaN,0,0,0,0,1,-1,2568190902.45037,0,0,0,0.530818399976946,0.000634701032747517,0.257962036718474,0,0
0.07,NaN,NaN,0,1,-0.0199973337599309,0.0996679946249558,0.808106323159122,-0.951226,2568190902.45037,513638180.490074,0,1,0.530818399976946,0.00548716773248846,0.263354146441742,0.711528096867168,0.131528096867168
0.08,NaN,NaN,0,1,-0.0161607193505172,0.0948367350330599,0.653035597896475,-0.908321162635119,2272107534.9916,454421506.998321,2072049.50299303,0.808106323159122,0.530818399976946,0.0119408465889176,0.284258793687741,0.696124886249882,0.116124886249882
0.09,NaN,NaN,0,1,-0.0130599693669525,0.0905831352643157,0.527721703945058,-0.870244355316035,2024328618.1369,404865723.62738,7538731.74272405,0.653035597896475,0.530818399976946,0.018952701684277,0.276275470470504,0.712609892075916,0.132609892075916
0.1,NaN,NaN,0,0,-0.01055404218884,0.086805412988392,0.426456130731633,-0.836152157028834,1815452274.91554,363090454.983108,15513234.6173286,0.527721703945058,0.530818399976946,0.0211681252386874,0.260239634704579,0.699465066958989,0.119465066958989
0.11,NaN,NaN,0,1,-0.00852891580099105,0.0834208937459536,0.344621042447523,-0.80536092871522,1638187740.96973,327637548.193947,25347972.4762775,0.426456130731633,0.530818399976946,0.0289463937688371,0.272121366015105,0.720862356877109,0.140862356877109
0.12,NaN,NaN,0,1,-0.00689231170847154,0.0803624227277087,0.278489464607727,-0.777316318384474,1486825721.2739,297365144.25478,36563537.899287,0.344621042447523,0.530818399976946,0.0348261350655688,0.233797312994533,0.717857438464481,0.137857438464481
0.13,NaN,NaN,0,1,-0.00556973169650853,0.0775754524355395,0.225048013088067,-0.751568382754643,1356853471.10207,271370694.220414,48799768.8815279,0.278489464607727,0.530818399976946,0.0362988574428655,0.260295369387972,0.714953377087485,0.134953377087485
0.14,NaN,NaN,0,1,-0.00450092986755819,0.0750156482131019,0.181861566884251,-0.727751638709227,1244671261.20801,248934252.241601,61781929.2316637,0.225048013088067,0.530818399976946,0.0502941225646789,0.225900285185215,0.704296804907742,0.124296804907742
0.15,NaN,NaN,0,1,-0.00363721529824434,0.0726469575996944,0.146962239540211,-0.705568901464419,1147382803.61813,229476560.723627,75297159.5771197,0.181861566884251,0.530818399976946,0.0466712375948344,0.263842290483758,0.707510407705303,0.127510407705304
0.16,NaN,NaN,0,1,-0.00293923632663152,0.0704400389663544,0.118759799021816,-0.684778224528739,1062638434.75995,212527686.95199,89177999.5412125,0.146962239540211,0.530818399976946,0.0557768105575831,0.272911525817911,0.709964074647567,0.129964074647567
0.17,NaN,NaN,0,0,-0.00237519151384607,0.06837098715832,0.0959707436679221,-0.665182342748412,988516883.252403,197703376.65048,103290777.424872,0.118759799021816,0.530818399976946,0.0688607557099637,0.224318834954251,0.696329324405729,0.116329324405729
0.18,1,0.17,1.11521336297325e-05,0,-0.00191941251622227,0.066420300401133,0.0775568657292237,-0.646620102429976,923435385.517323,184687077.103465,0,0.0959707436679221,0.460147510416256,0.0683422872110382,0.230593185646001,0.705672461897214,0.125672461897214
0.19,NaN,NaN,1.11521336297325e-05,1,-0.0015511360705596,0.064572039640673,0.0626727324111496,-0.628959598707478,866080705.415182,173216141.083036,409883.466873912,0.0775568657292237,0.460147510416256,0.0791268317818384,0.232111215981623,0.708383204048462,0.128383204048462
0.2,NaN,NaN,1.11521336297325e-05,1,-0.00125345399176892,0.0628131541505124,0.0506447393353219,-0.612092761048488,815356049.42324,163071209.884648,1549658.73893855,0.0626727324111496,0.460147510416256,0.0861017132579321,0.273855359179354,0.706392273679984,0.126392273679984
0.21,NaN,NaN,1.11521336297325e-05,1,-0.00101289444031147,0.0611329487649041,0.0409248097631759,-0.595930581626628,770340120.765164,154068024.153033,3299939.20128794,0.0506447393353219,0.460147510416256,0.085889104290885,0.229195240928118,0.707505803086811,0.127505803086811
0.22,NaN,NaN,1.11521336297325e-05,1,-0.00081849601248354,0.0595226133071933,0.0330700226707211,-0.580399589196805,730253984.388319,146050796.877664,5558908.97050043,0.0409248097631759,0.460147510416256,0.102162995588855,0.240791542655079,0.718679640192123,0.138679640192123
0.23,NaN,NaN,1.11521336297325e-05,1,-0.000661400356971106,0.0579748747684516,0.0267225239354806,-0.565438905772192,694435818.847882,138887163.769576,8239266.57816601,0.0330700226707211,0.460147510416256,0.0995189830843714,0.257547130841595,0.707672830493643,0.127672830493643
0.24,NaN,NaN,1.11521336297325e-05,1,-0.000534450427823285,0.056483706617491,0.0215930572815186,-0.550997864985911,662320602.323045,132464120.464609,11265826.4901552,0.0267225239354806,0.460147510416256,0.0937168249020309,0.266130841995774,0.705809734210666,0.125809734210666
0.25,NaN,NaN,1.11521336297325e-05,0,-0.000431861118782423,0.0550440933955396,0.0174516623388799,-0.537034090164575,633423858.883816,126684771.776763,14573615.9980257,0.0215930572815186,0.460147510416256,0.0990103636506578,0.227165915354882,0.69630322372535,0.11630322372535
0.26,NaN,NaN,1.11521336297325e-05,1,-0.000349033232604032,0.0536518406239255,0.0141011893035601,-0.523511846118273,607328579.326393,121465715.865279,18106346.7165165,0.0174516623388799,0.460147510416256,0.12296590896509,0.222737566050211,0.706426427293972,0.126426427293972
0.27,NaN,NaN,1.11521336297325e-05,1,-0.000282023778594054,0.0523034116185454,0.0113936644858766,-0.510401077023441,583674407.306587,116734881.461317,21815188.636807,0.0141011893035601,0.460147510416256,0.125758890731889,0.223244595414839,0.696999697031087,0.116999697031087
0.28,NaN,NaN,1.11521336297325e-05,1,-0.000227873285773331,0.0509958324360438,0.00920566394418683,-0.497676068662253,562149633.461606,112429926.692321,25657713.8361924,0.0113936644858766,0.460147510416256,0.117194247757319,0.24608937502982,0.708485117681105,0.128485117681105
0.29,NaN,NaN,1.11521336297325e-05,0,-0.000184113276803398,0.0497265591528005,0.00744131068383541,-0.48531474384918,542483365.759611,108496673.151922,29597089.2856254,0.00920566394418683,0.460147510416256,0.117308739869928,0.257557188019857,0.718877255350782,0.138877255350782
0.3,NaN,NaN,1.11521336297325e-05,0,-0.000148826212577912,0.0484934081222193,0.00601552269931934,-0.473297901947283,524439912.088447,104887982.417689,33601354.3222994,0.00744131068383541,0.460147510416256,0.1271749495599,0.212720623881641,0.700156843328494,0.120156843328494
0.31,NaN,NaN,1.11521336297325e-05,1,-0.000120310453405905,0.0472944805364279,0.00485956540862059,-0.461608885460426,507813694.431351,101562738.88627,37642838.329804,0.00601552269931934,0.460147510416256,0.130947296819424,0.254591677306806,0.700875011317095,0.120875011317095
0.32,NaN,NaN,1.11521336297325e-05,1,-9.7191307866384e-05,0.0461281295017094,0.00392542933555727,-0.450233119349083,492425553.169138,98485110.6338276,41697614.407346,0.00485956540862059,0.460147510416256,0.147285581880426,0.243287820168762,0.701353047259388,0.121353047259388
0.33,1,0.15,3.67607954490758e-06,0,-7.85085865498469e-05,0.044992914351103,0.00317287625975454,-0.439157554822311,478119210.314769,95623842.0629539,0,0.00392542933555727,0.431867363793472,0.139265264062386,0.255566775763979,0.712609101655996,0.132609101655996
0.34,NaN,NaN,3.67607954490758e-06,1,-6.34575251099128e-05,0.0438875453630181,0.00256238826065809,-0.428370442599512,464757947.068469,92951589.4136938,86992.6689735534,0.00317287625975454,0.431867363793472,0.166102392427024,0.246814932512521,0.711785371773191,0.131785371773191
0.35,NaN,NaN,3.67607954490758e-06,0,-5.12477651682973e-05,0.0428108613096241,0.00207139186279992,-0.417861283653325,452222227.012944,90444445.4025887,332069.816204952,0.00256238826065809,0.431867363793472,0.146642776202599,0.227442363987472,0.712745869767727,0.132745869767727
