Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,chi,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,1,-1,2099589980.11781,0,419917996.023563,0,0.8,0.0341753220844964,0.273144102548771,0.19,0
0.01,1,0.01,0,0,0,0,1,-1,2099589980.11781,0,0,0,0.584648824719134,0.0291546924550023,0.250375267387233,0,0
0.02,NaN,NaN,0,0,0,0,1,-1,2099589980.11781,0,0,0,0.584648824719134,0.0269833684292459,0.236214525263519,0,0
0.03,NaN,NaN,0,0,0,0,1,-1,2099589980.11781,0,0,0,0.584648824719134,0.0174103153296268,0.252093579054845,0,0
0.04,NaN,NaN,0,0,0,0,1,-1,2099589980.11781,0,0,0,0.584648824719134,0.0114405167406911,0.262327794134894,0,0
0.05,NaN,NaN,0,0,0,0,1,-1,2099589980.11781,0,0,0,0.584648824719134,0.00677165048007514,0.250483009962552,0,0
0.06,NaN,NaN,0,0,0,0,1,-1,2099589980.11781,0,0,0,0.584648824719134,0.000607726451686788,0.274491589213071,0,0
0.07,NaN,NaN,0,1,-0.0199973337599309,0.0996679946249558,0.808108,-0.951226,2099589980.11781,419917996.023563,0,1,0.584648824719134,0.00587132711250425,0.233062971659043,0.714688407557781,0.134688407557781
0.08,NaN,NaN,0,1,-0.016160752878576,0.0948367350330599,0.653038539664,-0.908321121742,1857445705.43091,371489141.086182,1695597.43216692,0.808108,0.584648824719134,0.0110835289890963,0.250056974266646,0.693454883156537,0.113454883156537
0.09,NaN,NaN,0,1,-0.0130600281922679,0.0905831312085579,0.527725668210796,-0.870244243679292,1654811075.26815,330962215.05363,6169055.01323084,0.653038539664,0.584648824719134,0.0180825167750832,0.255308996057039,0.698615955743844,0.118615955743844
0.1,NaN,NaN,0,1,-0.0105541214653232,0.086805401908838,0.42645933428649,-0.836151951438028,1483995788.7693,296799157.753859,12694653.9974353,0.527725668210796,0.584648824719134,0.0226320908776196,0.228560815330232,0.700105708962042,0.120105708962042
0.11,NaN,NaN,0,1,-0.00852897986742746,0.0834208733299445,0.344625199711587,-0.805360650013065,1339036498.26633,267807299.653266,20742457.501971,0.42645933428649,0.584648824719134,0.0275193458132137,0.227648762254034,0.701617718608719,0.121617718608719
0.12,NaN,NaN,0,1,-0.00689239484980303,0.0803623950374823,0.278494380888531,-0.777315945095829,1215263597.13083,243052719.426166,29920151.5865592,0.344625199711587,0.584648824719134,0.0374447699039685,0.228002874124841,0.694735326312287,0.114735326312287
0.13,NaN,NaN,0,1,-0.0055698300190743,0.0775754153313182,0.225053537151069,-0.751567898676049,1108985938.78233,221797187.756467,39933014.7791799,0.278494380888531,0.584648824719134,0.0372012220793676,0.233114715458818,0.697296761038601,0.117296761038601
