Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,1,-1,303454149.758233,0,379317687.197791,0,0.0340986513721866,0.24654845471296,0,0
0.01,1,0.01,0,0,0,0,1,-1,303454149.758233,0,0,0,0.0324018733690958,0.283669306329446,0,0
0.02,NaN,NaN,0,0,0,0,1,-1,303454149.758233,0,0,0,0.0266682269602066,0.27313957975761,0,0
0.03,NaN,NaN,0,0,0,0,1,-1,303454149.758233,0,0,0,0.0183912568259916,0.259007306434249,0,0
0.04,NaN,NaN,0,0,0,0,1,-1,303454149.758233,0,0,0,0.0118289835067987,0.284439061368312,0,0
0.05,NaN,NaN,0,0,0,0,1,-1,303454149.758233,0,0,0,0.00601892591836917,0.23914615299575,0,0
0.06,NaN,NaN,0,0,0,0,1,-1,303454149.758233,0,0,0,0.000635152040060773,0.259278516081938,0,0
0.07,NaN,NaN,0,1,-0.0199973337599309,0.0996679946249558,0.808103949428109,-0.951226,303454149.758233,379317687.197791,0,1,0.00498241048826791,0.229751130952026,0.701628534581203,0.121628534581203
0.08,NaN,NaN,0,1,-0.0161606718882958,0.0948367350330599,0.653031218924446,-0.908321220523297,268579679.105877,335724598.882346,1517751.05660841,0.808103949428109,0.0109091889598834,0.265204584943978,0.717624772221129,0.137624772221129
0.09,NaN,NaN,0,1,-0.0130598818024496,0.0905831410056345,0.527715813913485,-0.870244518582485,239390575.759252,299238219.699065,5521270.32165668,0.653031218924446,0.0165659502205938,0.243722911980441,0.705095145609192,0.125095145609192
0.1,NaN,NaN,0,1,-0.0105539244013299,0.0868054291920127,0.426447364540271,-0.836152459953905,214779506.112919,268474382.641148,11360283.4546807,0.527715813913485,0.0239774966563045,0.252189408787072,0.716634551644667,0.136634551644667
0.11,NaN,NaN,0,0,-0.00852874048991702,0.0834209238276536,0.344615526863909,-0.805361438033966,193887850.053305,242359812.566632,18560176.2937316,0.426447364540271,0.0323296254596185,0.256485253593325,0.708257766201494,0.128257766201494
0.12,NaN,NaN,0,1,-0.00689220140203942,0.080362473330659,0.278482447347401,-0.777316949791001,176043346.564393,220054183.205491,26769794.2334173,0.344615526863909,0.0345773100934724,0.265346889680582,0.71953182137908,0.13953182137908
0.13,NaN,NaN,0,0,-0.00556959135565566,0.0775755151962146,0.225043893561013,-0.751569169892987,160714651.151597,200893313.939497,35725528.7987313,0.278482447347401,0.0417294916788542,0.228693408823186,0.720755976238492,0.140755976238492
0.14,NaN,NaN,0,1,-0.00450084747868618,0.0750157264839857,0.18185552694268,-0.727752507114534,147478118.453957,184347648.067446,45226409.9570828,0.225043893561013,0.049015413810893,0.262404510690056,0.713844334019861,0.133844334019861
0.15,NaN,NaN,0,1,-0.00363709450101096,0.0726470439819167,0.146954578819619,-0.705569895987981,135992899.479623,169991124.349529,55116879.0241378,0.18185552694268,0.0567633667159771,0.265312226976321,0.712525564814331,0.132525564814332
0.16,NaN,NaN,0,1,-0.00293908311354325,0.0704401379252474,0.118750819748163,-0.684779381620848,125982636.737487,157478295.921859,65274610.5643649,0.146954578819619,0.0594098632133549,0.241389283266788,0.701114792831046,0.121114792831046
0.17,NaN,NaN,0,0,-0.00237501192938607,0.0683711023266367,0.0959634874450486,-0.665183690600062,117221390.136631,146526737.670788,75602045.6597315,0.118750819748163,0.0636679595870462,0.268835748247646,0.713384034868657,0.133384034868657
0.18,NaN,NaN,0,1,-0.00191926739229942,0.066420434591671,0.0775443379652896,-0.646621594369076,109523090.816795,136903863.520994,86020319.8840152,0.0959634874450486,0.0626425678142932,0.225625017425707,0.69916247584584,0.11916247584584
0.19,NaN,NaN,0,1,-0.00155088551588366,0.0645721882125103,0.0626594872011812,-0.628961359777238,102733384.92986,128416731.162325,96464963.1624312,0.0775443379652896,0.0670557851445907,0.272196327950451,0.714298103877185,0.134298103877185
0.2,1,0.19,2.59440454283943e-05,1,-0.00125318908798567,0.0628133295626578,0.0506309311033294,-0.612094802181975,96723479.2436815,120904349.054602,0,0.0626594872011812,0.0801564820089149,0.235294115595355,0.699781213397294,0.119781213397294
0.21,NaN,NaN,2.59440454283943e-05,1,-0.00101261827595488,0.0611331521154302,0.0409103655245943,-0.595932909724346,91385138.9322916,114231423.665364,239216.454210756,0.0506309311033294,0.0865112303459204,0.240027006991479,0.716336285105754,0.136336285105754
0.22,NaN,NaN,2.59440454283943e-05,1,-0.000818207127905372,0.0595228452921305,0.0330550442987938,-0.58040221277085,86626911.6162757,108283639.520345,906528.826114263,0.0409103655245943,0.0864666299043842,0.258297359935815,0.713170936147224,0.133170936147224
0.23,NaN,NaN,2.59440454283943e-05,1,-0.000661100789663546,0.0579751362440464,0.0267070630143875,-0.565441830642693,82371117.0022918,102963896.252865,1934455.35026525,0.0330550442987938,0.108116979235605,0.261050939832837,0.707946191109925,0.127946191109925
0.24,NaN,NaN,2.59440454283943e-05,1,-0.000534141209489697,0.056483998171383,0.0215771875796171,-0.551001095573078,78551450.2679302,98189312.8349128,3264797.28526869,0.0267070630143875,0.0920350081413285,0.260359897068205,0.701978370498827,0.121978370498827
0.25,NaN,NaN,2.59440454283943e-05,1,-0.000431543724803546,0.0550444154754305,0.0174315477119816,-0.537037628981833,75111069.1233606,93888836.4042007,4847172.95487469,0.0215771875796171,0.100285145444631,0.234815302393917,0.714418404423231,0.134418404423231
0.26,NaN,NaN,2.59440454283943e-05,1,-0.000348630940115019,0.053652193486989,0.0140813555936576,-0.523515789169801,72001052.9820826,90001316.2276033,6637841.07010514,0.0174315477119816,0.121055316379328,0.253362298032903,0.716596427349327,0.136596427349327
0.27,NaN,NaN,2.59440454283943e-05,1,-0.00028162710442751,0.0523038048450104,0.0113740770239442,-0.510405407600454,69179155.0411053,86473943.8013816,8598745.69897947,0.0140813555936576,0.115181744818665,0.25168572143297,0.705174166606207,0.125174166606207
0.28,NaN,NaN,2.59440454283943e-05,1,-0.000227481536554991,0.0509962643675367,0.00918622436601036,-0.497680771308919,66608781.8951001,83260977.368875,10696733.46452,0.0113740770239442,0.136391900740041,0.213851674764639,0.710656883803728,0.130656883803728
0.29,NaN,NaN,2.59440454283943e-05,1,-0.00018372448525302,0.0497270282546183,0.00741817128106387,-0.485319805885395,64258156.7815137,80322695.9768921,12902904.5859779,0.00918622436601036,0.141470690180874,0.244111796572839,0.710508118443892,0.130508118443892
0.3,NaN,NaN,2.59440454283943e-05,1,-0.0001483634245327,0.0484939131354346,0.00598933769268158,-0.473303404836236,62099629.2430615,77624536.5538269,15192068.8549456,0.00741817128106387,0.124381853474598,0.252929098201211,0.714327030087961,0.134327030087961
0.31,NaN,NaN,2.59440454283943e-05,1,-0.000119786753280697,0.0472950295944404,0.00483478736814522,-0.461614892724184,60109098.1643605,75136372.7054506,17542286.4342155,0.00598933769268158,0.138235544671058,0.237140806851797,0.697927628702734,0.117927628702734
0.32,NaN,NaN,2.59440454283943e-05,0,-9.66957470615337e-05,0.0461287289498403,0.00391200880526244,-0.450239584375772,58265530.0059216,72831912.507402,19934475.5559247,0.00483478736814522,0.144275833051307,0.218922128704116,0.702840249271418,0.122840249271418
0.33,NaN,NaN,2.59440454283943e-05,1,-7.82401759455991e-05,0.0449935595449974,0.00315604386946524,-0.439164189472866,56550551.0632033,70688188.8290042,22352073.913349,0.00391200880526244,0.144091490058617,0.250617736557351,0.699329605056136,0.119329605056136
0.34,NaN,NaN,2.59440454283943e-05,0,-6.31208773054752e-05,0.0438882075501433,0.00255540275403116,-0.428377325942347,54948051.9300614,68685064.9125767,24780781.9075593,0.00315604386946524,0.150588611830496,0.216328541722196,0.707535254319163,0.127535254319163
0.35,NaN,NaN,2.59440454283943e-05,1,-5.11080550361246e-05,0.042811548382329,0.00205978811670225,-0.417868169487628,53444064.4062864,66805080.507858,27208202.7692856,0.00255540275403116,0.152137007547504,0.215195270347354,0.694571703460573,0.114571703460573
0.36,NaN,NaN,2.59440454283943e-05,1,-4.11957623107407e-05,0.041762512073846,0.00165924487383054,-0.407627386385531,52026270.9560046,65032838.6950058,29623763.4222309,0.00205978811670225,0.153581550917521,0.250276149988396,0.699332052422165,0.119332052422165
0.37,NaN,NaN,2.59440454283943e-05,1,-3.31848974644293e-05,0.0407401765002647,0.0013354311630604,-0.397646113309009,50684020.3288723,63355025.4110903,32018365.9808087,0.00165924487383054,0.168064701496807,0.251874194073081,0.717687916366535,0.137687916366535
0.38,NaN,NaN,2.59440454283943e-05,1,-2.67086232548572e-05,0.0397436656552975,0.00107382631117937,-0.387916150383969,49407960.5053033,61759950.6316292,34384329.409715,0.0013354311630604,0.194427118144081,0.232333170028948,0.709679348605133,0.129679348605133
0.39,NaN,NaN,2.59440454283943e-05,1,-2.14765262202855e-05,0.0387721690061818,0.000862543877888788,-0.378429851822304,48189941.1414581,60237426.4268226,36715193.0114809,0.00107382631117937,0.163319071079646,0.220565350510639,0.695350590100518,0.115350590100518
0.4,NaN,NaN,2.59440454283943e-05,1,-1.72508775560645e-05,0.0378249306516377,0.000691762088443189,-0.369180048168364,47022868.6934897,58778585.8668621,39005578.8079455,0.000862543877888788,0.205338514111702,0.237759637013885,0.703475914282185,0.123475914282185
0.41,NaN,NaN,2.59440454283943e-05,1,-1.3835241767981e-05,0.0369012416251581,0.000553773801003089,-0.360159984331631,45900581.7127179,57375727.1408974,41251066.8015164,0.000691762088443189,0.208750209986565,0.236504498258277,0.703440350414091,0.123440350414091
0.42,NaN,NaN,2.59440454283943e-05,1,-1.10754760196089e-05,0.0360004337658249,0.000442284470653452,-0.35136325791205,44817741.2482069,56022176.5602587,43448082.8804342,0.000553773801003089,0.204860953812124,0.217964283134387,0.704056046100604,0.124056046100604
0.43,1,0.23,8.91281107489035e-06,1,-8.84568941283833e-06,0.0351218736109339,0.000352183702770239,-0.342783776149963,43769732.1942275,54712165.2427844,0,0.000442284470653452,0.180609693981569,0.212701447779841,0.708520903192328,0.128520903192328
0.44,NaN,NaN,8.91281107489035e-06,0,-7.04367405528829e-06,0.0342649581423053,0.000286312764821035,-0.334415719497035,42752577.5369364,53440721.9211706,26694.1489074896,0.000352183702770239,0.205211962786257,0.224103028591165,0.712797254173258,0.132797254173258
