Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,chi,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,-0.4,-0.4,21698.7767325438,0,19726.1606659489,0,0.02,0.0274728940559305,0.269271261689527,0,0
0.01,1,0.01,0,0,0,0,-0.4,-0.4,21698.7767325438,0,0,0,0.020004821870588,0.0215227786418756,0.271914952950908,0,0
0.02,NaN,NaN,0,0,0,0,-0.4,-0.4,21698.7767325438,0,0,0,0.020004821870588,0.015792968338035,0.281111898242909,0,0
0.03,NaN,NaN,0,0,0,0,-0.4,-0.4,21698.7767325438,0,0,0,0.020004821870588,0.0101068427157428,0.24742693788429,0,0
0.04,NaN,NaN,0,0,0,0,-0.4,-0.4,21698.7767325438,0,0,0,0.020004821870588,0.00434638320506914,0.258312894225967,0,0
0.05,NaN,NaN,0,1,-0.119427298534386,-0.7698665359089,-0.5996,-0.356046559523197,21698.7767325438,19726.1606659489,0,-0.4,0.020004821870588,0.00157693541627832,0.263895827932925,0.710299787268673,0.130299787268673
0.06,1,0.05,-0.0172754861801687,0,-0.139092447878458,-0.830578868538528,-0.777023679761598,-0.314618658432679,48938.428381082,44489.4803464381,0,-0.5996,0.0200061566059347,0.0068645222653461,0.235989365542829,0.697629551991008,0.117629551991008
0.07,1,0.01,-0.019826794049381,1,-0.158648504297499,-0.876393067472823,-0.933555985298176,-0.275442275886651,83261.7229741434,75692.4754310394,0,-0.777023679761598,0.0200072138367668,0.0142251358130255,0.244981664315777,0.702355632149696,0.122355632149696
0.08,1,0.01,-0.0224007778131188,1,-0.17808086811733,-0.910424593900427,-1.0703435672562,-0.238623496039132,121484.345875959,110440.31443269,0,-0.933555985298176,0.0200080393985658,0.0206299610617746,0.252338256412932,0.71630075138154,0.13630075138154
0.09,NaN,NaN,-0.0224007778131188,1,-0.197375320224904,-0.935409070603099,-1.18858497170851,-0.204121558749946,161019.344854183,146381.222594712,2590.17321753564,-1.0703435672562,0.0200080393985658,0.0240422440839037,0.268133377717649,0.705501723529161,0.125501723529161
0.1,1,0.02,-0.0345088224006445,1,-0.216518061493029,-0.953594123708712,-1.28945716611178,-0.171890410022752,199844.479712986,181676.799739078,0,-1.18858497170851,0.0200102433950772,0.0336232893704676,0.27561030293826,0.700522928882761,0.120522928882761
0.11,NaN,NaN,-0.0345088224006445,0,-0.235495749538498,-0.966747287784237,-1.37411291395704,-0.142151885583366,236417.753362755,214925.230329777,1423.14756146936,-1.28945716611178,0.0200102433950772,0.0348504077166082,0.23623791241233,0.706653088989506,0.126653088989506
