Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,chi,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,-0.4,-0.4,21698.7767325438,0,19726.1606659489,0,0.02,0.0289428998867183,0.267119875555907,0,0
0.01,1,0.01,0,0,0,0,-0.4,-0.4,21698.7767325438,0,0,0,0.020004821870588,0.020551215691987,0.286822485197215,0,0
0.02,NaN,NaN,0,0,0,0,-0.4,-0.4,21698.7767325438,0,0,0,0.020004821870588,0.0162571170156526,0.253271262217681,0,0
0.03,NaN,NaN,0,0,0,0,-0.4,-0.4,21698.7767325438,0,0,0,0.020004821870588,0.0105433674474903,0.23912605793861,0,0
0.04,NaN,NaN,0,0,0,0,-0.4,-0.4,21698.7767325438,0,0,0,0.020004821870588,0.00420490416211496,0.239481992548784,0,0
0.05,NaN,NaN,0,0,-0.119427298534386,-0.7698665359089,-0.5996,-0.356,21698.7767325438,19726.1606659489,0,-0.4,0.020004821870588,0.00165212959357595,0.272764794730407,0.720086957210791,0.140086957210791
0.06,1,0.05,-0.0176722640323996,1,-0.139092447878458,-0.830578868538528,-0.7770004,-0.314455987744724,48938.6192143791,44489.6538312538,0,-0.5996,0.0200061566663307,0.00784420222806875,0.260605722980529,0.713659586204633,0.133659586204633
0.07,1,0.01,-0.0198588350065825,0,-0.158648504297499,-0.876393067472823,-0.933451393472362,-0.275438973320318,83258.1675908426,75689.2432644024,0,-0.7770004,0.0200072137616506,0.0144011380522365,0.263919567782501,0.703524175215885,0.123524175215885
0.08,1,0.01,-0.0224770627709116,1,-0.17808086811733,-0.910424593900427,-1.07023742873905,-0.238621781693507,121456.738724689,110415.217022444,0,-0.933451393472362,0.0200080383207781,0.0178235286744109,0.279049735106572,0.718790418108692,0.138790418108692
0.09,NaN,NaN,-0.0224770627709116,1,-0.197375320224904,-0.935409070603099,-1.18847808215706,-0.204120193606149,160987.01163997,146351.828763609,2590.11018291036,-1.07023742873905,0.0200080383207781,0.0270139079569217,0.276257375860182,0.695738002209316,0.115738002209316
0.1,1,0.02,-0.0349248946082647,1,-0.216518061493029,-0.953594123708712,-1.28934970087798,-0.171891062481155,199808.164509875,181643.785918068,0,-1.18847808215706,0.0200102422755546,0.031086977023721,0.272333403650253,0.709033039749529,0.129033039749529
0.11,NaN,NaN,-0.0349248946082647,1,-0.235495749538498,-0.966747287784237,-1.37400588241768,-0.141880172860652,236377.971292626,214889.064811478,1423.12593875902,-1.28934970087798,0.0200102422755546,0.0351041508216547,0.265904516379839,0.716589463662572,0.136589463662572
0.12,NaN,NaN,-0.0349248946082647,1,-0.254295532626391,-0.976217736711226,-1.44357196296559,-0.11402587180518,269568.144380263,245061.949436603,4830.28543812576,-1.37400588241768,0.0200102422755546,0.0459524681409389,0.239286375603473,0.706101139907089,0.126101139907089
0.13,1,0.03,-0.0439926877809893,1,-0.272905080563133,-0.983014274296711,-1.49914132690521,-0.0882657414429902,298601.62338287,271456.021257154,0,-1.44357196296559,0.0200124807872518,0.0446780502925116,0.235151814650004,0.71914685654492,0.139146856544921
0.14,NaN,NaN,-0.0439926877809893,1,-0.291312612451591,-0.987880397016832,-1.5417750562998,-0.064529002180731,322995.325582621,293632.114166019,445.631676706891,-1.49914132690521,0.0200124807872518,0.0529469295074917,0.259401225442087,0.720361539075633,0.140361539075633
0.15,NaN,NaN,-0.0439926877809893,1,-0.309506921212638,-0.991358532960176,-1.57249778233387,-0.0427405010700611,342509.967460612,311372.697691466,1404.68302591198,-1.5417750562998,0.0200124807872518,0.0643579584894878,0.229405503037965,0.703630893103065,0.123630893103065
0.16,NaN,NaN,-0.0439926877809893,1,-0.327477394808705,-0.993841590757045,-1.59229553508657,-0.0228272919902638,357103.155388848,324639.23217168,2448.95717936672,-1.57249778233387,0.0200124807872518,0.0634776645730417,0.235224721488467,0.711510610242075,0.131510610242075
0.17,NaN,NaN,-0.0439926877809893,1,-0.345214034135521,-0.995612733286583,-1.60211688554661,-0.00470978117328142,366888.129066691,333534.662787901,3306.4045149267,-1.59229553508657,0.0200124807872518,0.0776868590249877,0.223377215604534,0.70883385879547,0.12883385879547
0.18,NaN,NaN,-0.0439926877809893,1,-0.362707467578051,-0.996875298099342,-1.6028696592477,0.0116905162075697,372099.405845339,338272.187132126,3829.21406219265,-1.60211688554661,0.0200124807872518,0.0813821721395241,0.228003767540179,0.717054495654512,0.137054495654512
