Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,chi,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,-0.4,-0.4,23911338.9051588,0,239113.389051588,0,0.02,0.0311156606813762,0.284128807238273,0,0
0.01,1,0.01,0,0,0,0,-0.4,-0.4,23911338.9051588,0,0,0,0.0199402218315501,0.0245006226392096,0.234520943981031,0,0
0.02,NaN,NaN,0,0,0,0,-0.4,-0.4,23911338.9051588,0,0,0,0.0199402218315501,0.0176473623255008,0.261666245926335,0,0
0.03,NaN,NaN,0,0,0,0,-0.4,-0.4,23911338.9051588,0,0,0,0.0199402218315501,0.0107959416344903,0.229601298752685,0,0
0.04,NaN,NaN,0,0,0,0,-0.4,-0.4,23911338.9051588,0,0,0,0.0199402218315501,0.0039560539469523,0.241319254840184,0,0
0.05,NaN,NaN,0,1,-0.119427298534386,-0.7698665359089,-0.5996,-0.356004269890753,23911338.9051588,239113.389051588,0,-0.4,0.0199402218315501,0.00157721187455073,0.234071550170773,0.707500502851142,0.127500502851142
0.06,1,0.05,-0.00158501933412033,1,-0.139092447878458,-0.830578868538528,-0.777002534945376,-0.314412499182471,53965623.1972506,539656.231972506,0,-0.5996,0.0199236272630055,0.00787086670649524,0.233535204364522,0.694194682521413,0.114194682521413
0.07,1,0.01,-0.00186542911300874,1,-0.158648504297499,-0.876393067472823,-0.933431782001666,-0.275206459265693,91847113.9581484,918471.139581484,0,-0.777002534945376,0.0199104821336148,0.0127186037016162,0.261766676724109,0.716666892146316,0.136666892146316
0.08,1,0.01,-0.00201473316756646,1,-0.17808086811733,-0.910424593900427,-1.07010157985251,-0.238356975444833,134014951.95481,1340149.5195481,0,-0.933431782001666,0.0199002284122867,0.021705873921477,0.268238248811698,0.69869338049635,0.11869338049635
0.09,NaN,NaN,-0.00201473316756646,1,-0.197375320224904,-0.935409070603099,-1.18820996599508,-0.203826082908721,177623818.429801,1776238.18429801,31428.7703383497,-1.07010157985251,0.0199002284122867,0.0242488652593735,0.228136281803156,0.698407560355308,0.118407560355308
