Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,-0.4,-0.4,130807.474495653,0,6540373.72478267,0,0.0282735318226771,0.233846085678401,0,0
0.01,1,0.01,0,0,0,0,-0.4,-0.4,130807.474495653,0,0,0,0.0204281324394971,0.269034254146995,0,0
0.02,NaN,NaN,0,0,0,0,-0.4,-0.4,130807.474495653,0,0,0,0.0153085122756062,0.232983243525698,0,0
0.03,NaN,NaN,0,0,0,0,-0.4,-0.4,130807.474495653,0,0,0,0.0110822806939881,0.247644766507619,0,0
0.04,NaN,NaN,0,0,0,0,-0.4,-0.4,130807.474495653,0,0,0,0.00398036304585028,0.245648258035633,0,0
0.05,NaN,NaN,0,1,-0.119427298534386,-0.7698665359089,-0.583005314371408,-0.35600035829532,130807.474495653,6540373.72478267,0,-0.4,0.00184472374011855,0.275216898624755,0.704313196016034,0.124313196016034
0.06,1,0.05,-0.00127319333514928,1,-0.139092447878458,-0.830578868538528,-0.74551120182137,-0.314572401665051,278722.619854449,13936130.9927225,0,-0.583005314371407,0.00851002599285121,0.241650853674458,0.70127994292175,0.12127994292175
0.07,1,0.01,-0.00176384355708164,1,-0.158648504297499,-0.876393067472823,-0.901341671488602,-0.275665056923895,461480.061243167,23074003.0621583,0,-0.74551120182137,0.0130230281991496,0.255253429771374,0.693629704515512,0.113629704515512
0.08,1,0.01,-0.00173706612059848,1,-0.17808086811733,-0.910424593900427,-1.00460132394635,-0.239086456227709,682107.947776678,34105397.3888339,0,-0.901341671488602,0.0215608763426086,0.267424056958788,0.696384504525881,0.116384504525881
0.09,NaN,NaN,-0.00173706612059848,1,-0.197375320224904,-0.935409070603099,-1.091312325907,-0.205134024595553,853873.303681601,42693665.18408,498527.037625183,-1.00460132394635,0.0255775809782775,0.250979812150367,0.70874380913567,0.12874380913567
0.1,1,0.02,-0.0028558229241859,0,-0.216518061493029,-0.953594123708712,-1.1927870639895,-0.173736057106169,1013899.67609228,50694983.8046139,0,-1.091312325907,0.0283631692752526,0.279533698433448,0.700239666360462,0.120239666360462
0.11,NaN,NaN,-0.0028558229241859,1,-0.235495749538498,-0.966747287784237,-1.24024060380157,-0.1444372507687,1218011.40450309,60900570.2251545,476918.939789532,-1.1927870639895,0.0413195586620961,0.26225620560601,0.713659457737226,0.133659457737226
0.12,NaN,NaN,-0.0028558229241859,1,-0.254295532626391,-0.976217736711226,-1.26526102375053,-0.117593356426803,1322188.00227931,66109400.1139653,1049077.98842126,-1.24024060380157,0.047364016297183,0.25100419368561,0.70163166919079,0.12163166919079
0.13,1,0.03,-0.00342935709835692,1,-0.272905080563133,-0.983014274296711,-1.32172789079309,-0.0931884155931736,1380711.25842539,69035562.9212693,0,-1.26526102375053,0.0522573538486517,0.238695916338519,0.704487054236387,0.124487054236387
0.14,NaN,NaN,-0.00342935709835692,0,-0.291312612451591,-0.987880397016832,-1.33267422817703,-0.0706865886969089,1511677.74096066,75583887.048033,151641.249449692,-1.32172789079309,0.0509693394737024,0.252469770755931,0.717580285356224,0.137580285356224
0.15,NaN,NaN,-0.00342935709835692,1,-0.309506921212638,-0.991358532960176,-1.31168534876879,-0.0502935366177814,1540862.94839976,77043147.4199879,230189.35047838,-1.33267422817703,0.0607734121532892,0.277633297781485,0.698080307950302,0.118080307950302
