Time,Event,EventTime,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,x1_3,XX1,SS,gg1,z1,chi,Normalized chi
0,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,0.1,0
0.01,1,0.01,0,0,0,0,0,1,-1,0.5,552588212.520219,0,0,0,360.122114009775,0.00183854800958992
0.02,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.03,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.04,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.05,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.06,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.07,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.08,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.09,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.1,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.11,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.12,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.13,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.14,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.15,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.16,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.17,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.18,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.19,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.2,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.21,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.22,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.23,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.24,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.25,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.26,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.27,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.28,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.29,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.3,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.31,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.32,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.33,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.34,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.35,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.36,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.37,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.38,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
0.39,NaN,NaN,0,0,0,0,0,1,-1,0.5,552588212.520219,0,1315686220.28623,0,360.122114009775,0.00183854800958992
