Time,Event,EventTime,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_2,XX1,SS,gg1,z1,chi,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,0,1,-1,0.5,427764561.486638,0,356470467.905531,0,0.1,0.0330014902054559,0.281211482439091,0.19,0
0.01,1,0.01,0,0,0,0,0,1,-1,0.5,427764561.486638,0,0,0,0.240739713001918,0.028419986174993,0.280189800809282,0,0
0.02,NaN,NaN,0,0,0,0,0,1,-1,0.5,427764561.486638,0,0,0,0.240739713001918,0.0270892027044857,0.268716145308763,0,0
0.03,NaN,NaN,0,0,0,0,0,1,-1,0.5,427764561.486638,0,0,0,0.240739713001918,0.0179003449004183,0.264125303789954,0,0
0.04,NaN,NaN,0,0,0,0,0,1,-1,0.5,427764561.486638,0,0,0,0.240739713001918,0.0124592792139696,0.242889672828739,0,0
0.05,NaN,NaN,0,0,0,0,0,1,-1,0.5,427764561.486638,0,0,0,0.240739713001918,0.00693148021667665,0.238083980356858,0,0
0.06,NaN,NaN,0,0,0,0,0,1,-1,0.5,427764561.486638,0,0,0,0.240739713001918,0.000598650870033276,0.232074989142328,0,0
0.07,NaN,NaN,0,0,-0.0199973337599309,0.0996679946249558,-0.148885033623318,0.808108,-0.951226,0.448517,427764561.486638,356470467.905531,0,1,0.240739713001918,0.00485177591039477,0.241567026153576,0.6931404596491,0.1131404596491
0.08,NaN,NaN,0,1,-0.016160752878576,0.0948367350330599,-0.133748894670688,0.653030404285522,-0.908321121742,0.400475020754,378637965.971295,315531638.309413,1423994.19291778,0.808108,0.240739713001918,0.0116041411345422,0.247209982564058,0.696890981566401,0.116890981566401
0.09,NaN,NaN,0,1,-0.0130598655124501,0.0905831312085579,-0.119567769819784,0.527710976674929,-0.870244442076767,0.355554519551252,337520144.451683,281266787.043069,5179799.38580882,0.653030404285522,0.240739713001918,0.019117181337708,0.236846481137402,0.704828437802891,0.124828437802891
0.1,NaN,NaN,0,0,-0.0105538276673347,0.0868054215990894,-0.106263648846178,0.426447461938824,-0.836152503279669,0.313482647590255,302850713.301153,252375594.417628,10656929.9511079,0.527710976674929,0.240739713001918,0.0237908243523641,0.273748457758302,0.707030253387158,0.127030253387158
0.11,NaN,NaN,0,1,-0.00852874243774639,0.0834209281300794,-0.093768514326455,0.344607582941412,-0.805361477927886,0.274024869942098,273419749.553501,227849791.294585,17409937.788551,0.426447461938824,0.240739713001918,0.0274489317398393,0.254617100648131,0.700122060174418,0.120122060174418
0.12,NaN,NaN,0,1,-0.0068920425311364,0.080362477294287,-0.0820227723884566,0.278472156478298,-0.777317182440466,0.236978171710504,248279916.967364,206899930.806137,25109377.0550228,0.344607582941412,0.240739713001918,0.0365191674166102,0.252418163535819,0.693643177963447,0.113643177963447
0.13,NaN,NaN,0,1,-0.00556938554465791,0.0775755383211535,-0.070973917793963,0.225027309994307,-0.751569647832254,0.202165526565335,226682838.915792,188902365.76316,33507959.5480743,0.278472156478298,0.240739713001918,0.0395989847540992,0.228191277457984,0.712094503419149,0.132094503419149
0.14,1,0.13,0.000107268141738482,1,-0.00450051581407044,0.0750157740089587,-0.0605754030394406,0.181838072348455,-0.727753377821738,0.169431427909661,208031658.928073,173359715.773394,0,0.225027309994307,0.245814108012489,0.0495360157400746,0.238083114229608,0.707426018362334,0.127426018362334
0.15,NaN,NaN,0.000107268141738482,0,-0.00363674541374396,0.0726471305931127,-0.0507856987394608,0.14696538486762,-0.705571171126438,0.138638251007348,191846347.879759,159871956.566466,459931.501270833,0.181838072348455,0.245814108012489,0.0498249373072003,0.239855404334259,0.714580317276461,0.134580317276461
0.16,NaN,NaN,0.000107268141738482,0,-0.00293929923263623,0.070440264806392,-0.0415675095357594,0.118784487132857,-0.68478036213541,0.109663295220872,177737644.16496,148114703.4708,1726069.96168353,0.14696538486762,0.245814108012489,0.0618843333390045,0.225998383191994,0.704835957769737,0.124835957769737
0.17,NaN,NaN,0.000107268141738482,0,-0.00237568527328073,0.0683711999197402,-0.0328871243677757,0.0960112782262133,-0.665183826156305,0.0823964000130895,165387049.3497,137822541.12475,3651821.88434941,0.118784487132857,0.245814108012489,0.0676695864975687,0.244969157396849,0.69588009524629,0.11588009524629
0.18,NaN,NaN,0.000107268141738482,1,-0.00192022320440013,0.0664204480874923,-0.024713886608053,0.0775786571708088,-0.646620561145729,0.0567379514905035,154532684.496952,128777237.080793,6116642.59572434,0.0960112782262133,0.245814108012489,0.0769350295627142,0.249945658319212,0.717873161654439,0.137873161654439
0.19,NaN,NaN,0.000107268141738482,1,-0.00155157189834239,0.0645720853209844,-0.0170197417827978,0.0626832012041739,-0.628959514808643,0.0325972806198028,144957368.808019,120797807.340016,9020420.2889296,0.0775786571708088,0.245814108012489,0.0774321268107504,0.245761859741874,0.702449461315639,0.122449461315639
0.2,NaN,NaN,0.000107268141738482,1,-0.00125366336730039,0.0628131457937312,-0.00977887246210599,0.050645877487213,-0.612092423893239,0.00989132828710763,136480118.683288,113733432.236074,12279219.3577769,0.0626832012041739,0.245814108012489,0.0753217912516582,0.239314854302872,0.70999592256728,0.12999592256728
0.21,NaN,NaN,0.000107268141738482,1,-0.00101291720332594,0.061132915175382,-0.00296738977639957,0.040918387190845,-0.595930224937474,-0.0114563980552262,128948544.678461,107457120.565384,15822220.4201839,0.050645877487213,0.245814108012489,0.090819954373548,0.224626809018586,0.705779291982813,0.125779291982813
0.22,NaN,NaN,0.000107268141738482,1,-0.000818367561122962,0.0595225777646506,0.00343690588385889,0.0330574607492058,-0.5803993978335,-0.0315167087414787,122233907.968882,101861589.974068,19589263.1574953,0.040918387190845,0.245814108012489,0.0999352341309102,0.236558530064807,0.704646400746195,0.124646400746195
0.23,NaN,NaN,0.000107268141738482,0,-0.000661149118650662,0.05797485569644,0.00945473088176614,0.0267345823893736,-0.565439025423244,-0.0503554603964951,116226865.44549,96855721.2045748,23528983.2059341,0.0330574607492058,0.245814108012489,0.100089638287757,0.252193908296149,0.721318769494288,0.141318769494288
0.24,1,0.1,2.79603097458507e-05,1,-0.000534691596832228,0.0564837185444226,0.0151054890592831,0.0215953759812556,-0.550997687649518,-0.0680341585153431,110834100.011485,92361750.0095708,0,0.0267345823893736,0.248984323395668,0.0985135910835011,0.256964861156554,0.697482965319395,0.117482965319395
0.25,NaN,NaN,2.79603097458507e-05,1,-0.000431907492768513,0.0550440757156306,0.0204074138720172,0.0174422326824956,-0.537033860606754,-0.0846104327622863,105975336.514623,88312780.4288528,146256.158234813,0.0215953759812556,0.248984323395668,0.116410545615503,0.260181350090303,0.701858057003789,0.121858057003789
0.26,NaN,NaN,2.79603097458507e-05,0,-0.000348844639499309,0.053651817734222,0.0253776797553474,0.0141005731283439,-0.523511852119709,-0.100138509652764,101582080.765277,84651733.9710638,555938.79755054,0.0174422326824956,0.248984323395668,0.106942876991873,0.241275238143476,0.722157186180543,0.142157186180543
0.27,NaN,NaN,2.79603097458507e-05,0,-0.000282011455090711,0.0523034122170472,0.0300325187077092,0.0114001513093575,-0.510401097905185,-0.114669529512915,97594869.0815215,81329057.5679346,1189584.75454288,0.0141005731283439,0.248984323395668,0.109821708994555,0.257696498412704,0.701071534164061,0.121071534164061
0.28,NaN,NaN,2.79603097458507e-05,1,-0.000228003022236208,0.0509958345187878,0.0343872950634722,0.00920307997742222,-0.49767593084059,-0.128251828403274,93962072.209718,78301726.8414317,2012681.7188605,0.0114001513093575,0.248984323395668,0.121794323330583,0.251579176542487,0.717277872147199,0.137277872147199
0.29,NaN,NaN,2.79603097458507e-05,0,-0.000184061597469857,0.0497265454047138,0.0384565737686064,0.00744244791415247,-0.485314672403771,-0.140931202447128,90639002.9742427,75532502.4785355,2994989.61356806,0.00920307997742222,0.248984323395668,0.121584842751982,0.226741936292892,0.711002426856186,0.131002426856186
0.3,NaN,NaN,2.79603097458507e-05,1,-0.00014884895718375,0.0484934009944796,0.0422541866565131,0.00600497070749957,-0.473297804510578,-0.15275113190298,87586894.3400212,72989078.6166843,4109973.47711052,0.00744244791415247,0.248984323395668,0.15039264418311,0.264608318267394,0.704259736132895,0.124259736132895
0.31,NaN,NaN,2.79603097458507e-05,1,-0.000120099413572559,0.0472944708145516,0.0457932893389516,0.00484321076547059,-0.461609047731334,-0.163752934800218,84771696.0509693,70643080.0424744,5334395.7346276,0.00600497070749957,0.248984323395668,0.151847710332175,0.220807012792705,0.713328362393693,0.133328362393693
0.32,NaN,NaN,2.79603097458507e-05,0,-9.68642150064633e-05,0.0461281456942721,0.049086399203095,0.00391920272502066,-0.450233676503373,-0.173975952308239,82163941.274718,68469951.062265,6647843.10850189,0.00484321076547059,0.248984323395668,0.148015637448074,0.212167946724217,0.699167111294792,0.119167111294793
0.33,NaN,NaN,2.79603097458507e-05,1,-7.83840543398811e-05,0.0449929699537436,0.0521454447152937,0.00315785847156524,-0.43915825023763,-0.183457669918065,79737757.0693712,66448130.8911427,8032447.24194256,0.00391920272502066,0.248984323395668,0.136407357487861,0.233469925191642,0.701451024290439,0.121451024290439
0.34,NaN,NaN,2.79603097458507e-05,1,-6.31571693473304e-05,0.0438876147706047,0.054981796980084,0.00254239924373709,-0.428371487294539,-0.192233825235793,77470423.3887455,64558686.1572879,9472604.42202917,0.00315785847156524,0.248984323395668,0.170414625045662,0.244462740550359,0.718809496398878,0.138809496398878
0.35,NaN,NaN,2.79603097458507e-05,1,-5.08479848309189e-05,0.0428109655876577,0.0576062985019082,0.00204525241602898,-0.41786279034353,-0.200338542072973,75342309.6270109,62785258.0225091,10954629.4420015,0.00254239924373709,0.248984323395668,0.156334605725088,0.247072771443446,0.70473832958757,0.12473832958757
0.36,NaN,NaN,2.79603097458507e-05,1,-4.09050482977652e-05,0.0417619750976046,0.0600293007850304,0.00164359486286158,-0.407622492904753,-0.207804409322115,73336138.1038582,61113448.4198819,12466621.2736624,0.00204525241602898,0.248984323395668,0.175641016830253,0.21044380141098,0.700184429628964,0.120184429628964
0.37,NaN,NaN,2.79603097458507e-05,1,-3.28718972453917e-05,0.0407396879643785,0.0622606862022171,0.00131892297233537,-0.397641720822364,-0.214662565586838,71436814.1998244,59530678.4998537,13998238.2756268,0.00164359486286158,0.248984323395668,0.17150321367746,0.227357665850168,0.70980349906486,0.12980349906486
0.38,1,0.14,1.80043735552266e-05,1,-2.63784594405892e-05,0.0397432271004444,0.0643098922180647,0.00105669132318937,-0.387912267602142,-0.220942776152832,69631165.308346,58025971.0902883,0,0.00131892297233537,0.250727287871252,0.184352066116192,0.226110440502406,0.702443272393086,0.122443272393086
0.39,NaN,NaN,1.80043735552266e-05,0,-2.11338264606409e-05,0.0387717813116846,0.066185933822246,0.000857375607050172,-0.37842648160083,-0.226673503038355,67907709.7589498,56589758.1324582,38055.7151746751,0.00105669132318937,0.250727287871252,0.185929524239486,0.203847171695672,0.720716418335244,0.140716418335244
0.4,NaN,NaN,1.80043735552266e-05,1,-1.71475121393228e-05,0.0378245941116722,0.0678974242859583,0.000683832820770891,-0.369176886175102,-0.231881968768577,66256450.9399322,55213709.1166102,145787.122146084,0.000857375607050172,0.250727287871252,0.16892318061498,0.245036866248855,0.700697486958041,0.120697486958041
0.41,NaN,NaN,1.80043735552266e-05,1,-1.36766564145651e-05,0.0369009258563973,0.069452594345393,0.000543428145584832,-0.360157092820949,-0.236594204923803,64668630.0926549,53890525.0772124,314374.319715286,0.000683832820770891,0.250727287871252,0.193131491633363,0.201741411621035,0.717872175223761,0.137872175223761
0.42,NaN,NaN,1.80043735552266e-05,1,-1.08685629112687e-05,0.0360001449895026,0.0708593070678847,0.000430314604849785,-0.351360689216139,-0.240835130362209,63136814.0371567,52614011.6976306,535997.992558591,0.000543428145584832,0.250727287871252,0.180597788930782,0.243764603236442,0.695313544485722,0.115313544485722
0.43,NaN,NaN,1.80043735552266e-05,0,-8.6062920967832e-06,0.0351216170582009,0.0721250817447638,0.000351195569946209,-0.342781562005956,-0.244628588593194,61654490.5154089,51378742.096174,803742.531927211,0.000430314604849785,0.250727287871252,0.219803386707571,0.20770114855966,0.71687391373159,0.136873913731591
0.44,NaN,NaN,1.80043735552266e-05,1,-7.02391139880868e-06,0.0342647369878627,0.0732571057055267,0.000275099631344365,-0.334413583446953,-0.247997394946667,60216041.0362406,50180034.1968672,1111497.13166915,0.000351195569946209,0.250727287871252,0.220225577410515,0.242497768016015,0.695448758802216,0.115448758802217
0.45,NaN,NaN,1.80043735552266e-05,1,-5.50199262683178e-06,0.0334288978224252,0.0742622491374211,0.000213470741867748,-0.326251530532722,-0.250963371368373,58816576.1283841,49013813.4403201,1453880.97681362,0.000275099631344365,0.250727287871252,0.196581288359066,0.211334983899812,0.712044359156506,0.132044359156506
0.46,NaN,NaN,1.80043735552266e-05,1,-4.26941483732903e-06,0.0326135825685436,0.0751470762601102,0.000163859551396526,-0.318290028546639,-0.253547411567212,57452050.5893454,47876708.8244545,1826131.02376951,0.000213470741867748,0.250727287871252,0.233392697351397,0.237169203571254,0.702628965587943,0.122628965587943
0.47,NaN,NaN,1.80043735552266e-05,1,-3.27719102791879e-06,0.0318182587089339,0.0759178655761911,0.000123744332919162,-0.310523893577592,-0.25576950766718,56118944.8700769,46765787.3917308,2224065.81154316,0.000163859551396526,0.250727287871252,0.216977558037184,0.237561887967886,0.710960669768394,0.130960669768394
0.48,NaN,NaN,1.80043735552266e-05,1,-2.47488665837819e-06,0.0310424124412037,0.0765806186365756,9.14792208314698e-05,-0.302948129631868,-0.257648787700397,54814274.38219,45678561.9851584,2644012.91473814,0.000123744332919162,0.250727287871252,0.199802829420812,0.222635797035247,0.705076160226666,0.125076160226666
0.49,NaN,NaN,1.80043735552266e-05,1,-1.82958441662736e-06,0.0302855484166337,0.0771410720269096,6.55380534101117e-05,-0.295557902690778,-0.259203551714169,53535525.7684443,44612938.1403702,3082752.11894564,9.14792208314698e-05,0.250727287871252,0.245331983988774,0.236396887129957,0.700935748275481,0.120935748275481
0.5,NaN,NaN,1.80043735552266e-05,1,-1.31076106820148e-06,0.0295471871734476,0.0776047089141188,4.45100588897523e-05,-0.288348533841349,-0.260451305748388,52280595.1328713,43567162.6107261,3537465.53408056,6.55380534101117e-05,0.250727287871252,0.231026969861761,0.193631170220023,0.713553343455475,0.133553343455475
0.51,NaN,NaN,1.80043735552266e-05,1,-8.90201177794811e-07,0.0288268644732823,0.0779767699226546,2.75864579074929e-05,-0.281315492679754,-0.261408794410995,51047736.3499362,42539780.2916135,4005692.06184329,4.45100588897523e-05,0.250727287871252,0.253072215082904,0.196131405115824,0.715175898610416,0.135175898610416
0.52,NaN,NaN,1.80043735552266e-05,1,-5.51729158149803e-07,0.0281241306630887,0.0782622635514264,1.41333437928071e-05,-0.274454379008824,-0.262092032108975,49835514.7061544,41529595.588462,4485286.44359049,2.75864579074929e-05,0.250727287871252,0.232585202918971,0.232674254944868,0.703739275499911,0.123739275499911
0.53,NaN,NaN,1.80043735552266e-05,1,-2.82666875856135e-07,0.0274385488656537,0.078465976144549,3.44730033967254e-06,-0.267760915398081,-0.262516332579272,48642763.3053055,40535636.0877546,4974383.37741456,1.41333437928071e-05,0.250727287871252,0.237556448183344,0.226096428168638,0.69546013999814,0.11546013999814
0.54,NaN,NaN,1.80043735552266e-05,1,-6.89460067934507e-08,0.0267696942538031,0.0785924813075604,-5.20884950768504e-06,-0.261230945884954,-0.262696337150779,47468546.1007439,39557121.7506199,5471364.89527907,3.44730033967254e-06,0.250727287871252,0.258736944587442,0.225075893289276,0.705312952486958,0.125312952486958
0.55,NaN,NaN,1.80043735552266e-05,1,1.041769901537e-07,0.0261171539368992,0.0786461488967001,-1.20946066554561e-05,-0.254860433835871,-0.262646041991753,46312125.9721512,38593438.310126,5974830.71300685,-5.20884950768504e-06,0.250727287871252,0.271848072050968,0.205238512794968,0.703909920085515,0.123909920085516
0.56,NaN,NaN,1.80043735552266e-05,1,2.41892133109117e-07,0.0254805267622093,0.0786311536571372,-1.76017330774402e-05,-0.248645447387088,-0.262378824348627,45172936.0619286,37644113.3849405,6483571.64012074,-1.20946066554561e-05,0.250727287871252,0.27774997294596,0.218214633278928,0.707280971408213,0.127280971408213
0.57,NaN,NaN,1.80043735552266e-05,1,3.52034661548789e-07,0.0248594218739107,0.0785514835128189,-2.18111503925399e-05,-0.242582160115123,-0.261907467384553,44050552.3175459,36708793.5979549,6996546.87001435,-1.76017330774402e-05,0.250727287871252,0.241011560394983,0.197872248805628,0.694032518080583,0.114032518080583
0.58,NaN,NaN,1.80043735552266e-05,1,4.3622300785077e-07,0.0242534587929106,0.0784109473926866,-2.52471619309335e-05,-0.236666840884921,-0.261244184188452,42944671.5170059,35787226.2641716,7512862.60424191,-2.18111503925399e-05,0.250727287871252,0.254222892202562,0.213560124126893,0.706031959899945,0.126031959899946
0.59,NaN,NaN,1.80043735552266e-05,0,5.04943238618627e-07,0.0236622664141671,0.0782131827654044,-1.69475382834232e-05,-0.230895862338798,-0.260400640611588,41855090.229297,34879241.8577475,8031753.94078808,-2.52471619309335e-05,0.250727287871252,0.275639514487124,0.196525619972981,0.707911119613933,0.127911119613933
0.6,1,0.22,1.43298666608385e-05,1,3.38950765668452e-07,0.0230854838660991,0.0779616627826449,-2.11858987412304e-05,-0.225265418243558,-0.259387977611709,40781687.2603858,33984739.3836548,0,-1.69475382834232e-05,0.251674085059569,0.273997739419602,0.176591570012984,0.712198748562612,0.132198748562612
0.61,NaN,NaN,1.43298666608385e-05,0,4.23717974824582e-07,0.0225227322699544,0.0776597032362119,-1.43707074866966e-05,-0.219772387149365,-0.258216823129076,39724371.8736236,33103643.2280197,9370.54830843395,-2.11858987412304e-05,0.251674085059569,0.280879460614518,0.191131871690926,0.711984399751134,0.131984399751134
0.62,NaN,NaN,1.43298666608385e-05,1,2.87414149733924e-07,0.0219737010701414,0.0773104663568784,-1.87310341678873e-05,-0.214413148402397,-0.25689733319738,38683191.9742063,32235993.3118386,36783.8874898743,-1.43707074866966e-05,0.251674085059569,0.282303678669271,0.215669970007587,0.695309817211655,0.115309817211655
0.63,NaN,NaN,1.43298666608385e-05,0,3.74620683357728e-07,0.0214380297059192,0.0769169732968703,-1.23869117860614e-05,-0.209184711746038,-0.255439191006847,37658154.799687,31381795.6664058,81262.7921021704,-1.87310341678873e-05,0.251674085059569,0.264434365128654,0.207426973912246,0.706929832019501,0.126929832019501
0.64,NaN,NaN,1.43298666608385e-05,1,2.47738235721223e-07,0.0209154205233739,0.0764821040428438,-1.70401776675258e-05,-0.204083626260305,-0.253851644769657,36649372.9568828,30541144.1307356,141908.01511625,-1.23869117860614e-05,0.251674085059569,0.281295609920076,0.19199188185106,0.706192200409833,0.126192200409833
0.65,NaN,NaN,1.43298666608385e-05,1,3.40803553350504e-07,0.0204055297283744,0.0760086088714552,-2.05770975559131e-05,-0.199107054425508,-0.252143506838379,35656909.6589434,29714091.3824528,217897.044856051,-1.70401776675258e-05,0.251674085059569,0.288187057047144,0.180244103382169,0.693593894782375,0.113593894782375
0.66,NaN,NaN,1.43298666608385e-05,1,4.11541951118238e-07,0.0199080747516337,0.0754991082236411,-2.34578401215835e-05,-0.194251932502911,-0.250323189718665,34680912.7860091,28900760.6550075,308463.71709856,-2.05770975559131e-05,0.251674085059569,0.323202910773096,0.179268259032752,0.706056686780161,0.126056686780161
0.67,NaN,NaN,1.43298666608385e-05,1,4.69156802431636e-07,0.0194227503302963,0.0749561035590506,-2.55371427014997e-05,-0.189515282691309,-0.248398712028505,33721497.6037316,28101248.0031097,412900.474409846,-2.34578401215835e-05,0.251674085059569,0.274748479680665,0.190495193607137,0.690430177369767,0.110430177369767
0.68,NaN,NaN,1.43298666608385e-05,1,5.1074285402995e-07,0.0189492597153991,0.0743819792260472,-2.71721067440289e-05,-0.184894196266615,-0.246377714966794,32778783.4231256,27315652.8526046,530548.440642483,-2.55371427014997e-05,0.251674085059569,0.312283709647482,0.185194823207134,0.695969813207652,0.115969813207652
0.69,NaN,NaN,1.43298666608385e-05,1,5.43442134880524e-07,0.0184873129921251,0.07377900744706,-2.83906765972662e-05,-0.180385844148429,-0.244267477637967,31852887.0275342,26544072.5229452,660791.666236488,-2.71721067440289e-05,0.251674085059569,0.341087298622551,0.187048879600316,0.695457318755167,0.115457318755167
0.7,NaN,NaN,1.43298666608385e-05,1,5.67813531945262e-07,0.0180366281412964,0.0731493529460333,-2.93111597949569e-05,-0.175987466930611,-0.242074932213339,30943920.1732471,25786600.1443725,803051.551250244,-2.83906765972662e-05,0.251674085059569,0.319175693338414,0.17080635696307,0.699113416003132,0.119113416003132
0.71,NaN,NaN,1.43298666608385e-05,1,5.86223195899071e-07,0.0175969300476484,0.0724950775124783,-2.99519442259595e-05,-0.171696375385828,-0.239806678229905,30051985.3163741,25043321.0969784,956782.371186689,-2.93111597949569e-05,0.251674085059569,0.291592933556529,0.164913173140312,0.698517029222422,0.118517029222422
0.72,NaN,NaN,1.43298666608385e-05,1,5.99038884519118e-07,0.0171679505547595,0.0718181442953412,-3.03619242228065e-05,-0.167509946317358,-0.237468996415691,29177173.1884089,24314310.9903407,1121467.15936377,-2.99519442259595e-05,0.251674085059569,0.328983611449629,0.19738326836494,0.697313818205647,0.117313818205647
0.73,NaN,NaN,1.43298666608385e-05,1,6.07238484456055e-07,0.0167494280545343,0.0711204219444399,-3.04916778264955e-05,-0.163425621692762,-0.235067861898216,28319560.386597,23599633.6554975,1296614.2443312,-3.03619242228065e-05,0.251674085059569,0.337324748526292,0.166921583610243,0.685236487204219,0.10523648720422
0.74,NaN,NaN,1.43298666608385e-05,1,6.09833556529834e-07,0.0163411074044612,0.0704036885581988,-3.05613145536794e-05,-0.159440904657088,-0.232608956929884,27479207.7877779,22899339.8231483,1481754.16102571,-3.04916778264955e-05,0.251674085059569,0.315182300495607,0.183322956922386,0.692154206241482,0.112154206241482
0.75,NaN,NaN,1.43298666608385e-05,0,6.11226291073512e-07,0.0159427395326308,0.0696696354790045,-2.19470560080631e-05,-0.155553364613994,-0.230097683039777,26656159.091581,22213465.9096509,1676437.08863811,-3.05613145536794e-05,0.251674085059569,0.346238978218097,0.168801465930259,0.691097485464855,0.111097485464855
0.76,NaN,NaN,1.43298666608385e-05,1,4.38941120161235e-07,0.0155540819490493,0.0689198709104254,-2.35383511689823e-05,-0.151760419934007,-0.227539172942767,25850439.3275059,21542032.7729216,1880230.35061219,-2.19470560080631e-05,0.251674085059569,0.304956975041542,0.171976612342346,0.700720892236024,0.120720892236024
0.77,NaN,NaN,1.43298666608385e-05,1,4.70767023379611e-07,0.0151748770245944,0.0681559234562294,-2.46489118303674e-05,-0.148060012602847,-0.224938294582001,25062037.0469433,20885030.8724527,2092725.97422395,-2.35383511689823e-05,0.251674085059569,0.322467785188324,0.17744288188778,0.690812962188341,0.110812962188341
