Time,Event,EventTime,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_2,XX1,SS,gg1,z1,chi,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,0,1,-1,0.5,2568190902.45037,0,513638180.490074,0,0.1,0.0383664290119286,0.257856129412912,0.19,0
0.01,1,0.01,0,0,0,0,0,1,-1,0.5,2568190902.45037,0,0,0,0.238683013856865,0.0312541223456126,0.266818939225563,0,0
0.02,NaN,NaN,0,0,0,0,0,1,-1,0.5,2568190902.45037,0,0,0,0.238683013856865,0.022179737192077,0.269847891159823,0,0
0.03,NaN,NaN,0,0,0,0,0,1,-1,0.5,2568190902.45037,0,0,0,0.238683013856865,0.0186420341665616,0.268983114570719,0,0
0.04,NaN,NaN,0,0,0,0,0,1,-1,0.5,2568190902.45037,0,0,0,0.238683013856865,0.0123792149428491,0.248991451360474,0,0
0.05,NaN,NaN,0,0,0,0,0,1,-1,0.5,2568190902.45037,0,0,0,0.238683013856865,0.00590428422174395,0.229634562394725,0,0
0.06,NaN,NaN,0,0,0,0,0,1,-1,0.5,2568190902.45037,0,0,0,0.238683013856865,0.000629679658011283,0.276348554870737,0,0
0.07,NaN,NaN,0,1,-0.0199973337599309,0.0996679946249558,-0.148885033623318,0.808106303486082,-0.951226,0.448517,2568190902.45037,513638180.490074,0,1,0.238683013856865,0.00591019221195596,0.246093983784594,0.719875889701774,0.139875889701774
0.08,NaN,NaN,0,1,-0.0161607189571592,0.0948367350330599,-0.133748894670688,0.653035574303973,-0.908321163114885,0.400475020754,2272107534.90511,454421506.981021,2072049.50514748,0.808106303486082,0.238683013856865,0.0123774570878267,0.257188084598752,0.699500686653532,0.119500686653533
0.09,NaN,NaN,0,1,-0.013059968895183,0.0905831353118987,-0.119567769819784,0.527721688305776,-0.870244356359451,0.355554518131252,2024328619.83645,404865723.967289,7538731.71134823,0.653035574303973,0.238683013856865,0.0179195505327175,0.242749428112727,0.711071515987328,0.131071515987328
0.1,NaN,NaN,0,1,-0.0105540418760892,0.0868054130919474,-0.106263648424989,0.426454589824429,-0.8361521584282,0.313482649160982,1815452278.57077,363090455.714154,15513234.5123238,0.527721688305776,0.238683013856865,0.0257048382530021,0.27819492221207,0.696555459128321,0.116555459128321
0.11,NaN,NaN,0,1,-0.00852888498508875,0.0834208938849163,-0.0937685147935299,0.344619822656191,-0.805360967658563,0.274024883294906,1638187740.89438,327637548.178877,25347972.8550178,0.426454589824429,0.238683013856865,0.0285430163958636,0.243790130803373,0.709175723460875,0.129175723460875
0.12,NaN,NaN,0,1,-0.00689228731380379,0.080362426596893,-0.0820227763673489,0.278488508079128,-0.777316386125158,0.236978202118481,1486825846.70864,297365169.341728,36563532.2008611,0.344619822656191,0.238683013856865,0.0338905177581063,0.277255076813787,0.704395308304043,0.124395308304043
0.13,NaN,NaN,0,1,-0.00556971256653,0.0775754591688419,-0.0709739268704039,0.225047264412735,-0.751568472170198,0.202165583260783,1356853683.82668,271370736.765336,48799757.2378524,0.278488508079128,0.238683013856865,0.0368728946079099,0.25947580492508,0.703751880290939,0.123751880290939
0.14,1,0.13,2.19310801128004e-05,0,-0.00450091489435489,0.0750156571043401,-0.060575419985664,0.181866703148871,-0.72775174420215,0.169431523010281,1244671532.78146,248934306.556291,0,0.225047264412735,0.236623942470501,0.0512437502257126,0.225435474235068,0.714217731462063,0.134217731462063
0.15,NaN,NaN,2.19310801128004e-05,1,-0.00363731802217772,0.0726469680933119,-0.0507857271960622,0.146966376207849,-0.7055688791266,0.138638398913016,1147383124.92469,229476624.984938,670666.717244453,0.181866703148871,0.236623942470501,0.0484178429051325,0.238023483750409,0.71390504558615,0.13390504558615
0.16,NaN,NaN,2.19310801128004e-05,1,-0.00293931905926952,0.0704400367436562,-0.0415675538307919,0.118763146660302,-0.684778101854759,0.10966351671614,1062638371.64104,212527674.328208,2517017.40105975,0.146966376207849,0.236623942470501,0.0628035148267595,0.247045775022757,0.707798706724558,0.127798706724558
