Time,Event,EventTime,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS,gg1,z1,chi,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,0,1,-1,0.5,2099589980.11781,0,419917996.023563,0,0.1,0.0394918952872357,0.259312017516006,0.19,0
0.01,1,0.01,0,0,0,0,0,1,-1,0.5,2099589980.11781,0,0,0,0.202734432003628,0.033787798861257,0.253873116576622,0,0
0.02,NaN,NaN,0,0,0,0,0,1,-1,0.5,2099589980.11781,0,0,0,0.202734432003628,0.0254079144148582,0.236537178121579,0,0
0.03,NaN,NaN,0,0,0,0,0,1,-1,0.5,2099589980.11781,0,0,0,0.202734432003628,0.0190346818633518,0.283869849734795,0,0
0.04,NaN,NaN,0,0,0,0,0,1,-1,0.5,2099589980.11781,0,0,0,0.202734432003628,0.0136303673505323,0.269950486065451,0,0
0.05,NaN,NaN,0,0,0,0,0,1,-1,0.5,2099589980.11781,0,0,0,0.202734432003628,0.00679441365981366,0.254513427370382,0,0
0.06,NaN,NaN,0,0,0,0,0,1,-1,0.5,2099589980.11781,0,0,0,0.202734432003628,0.000628629664322715,0.238614908012838,0,0
0.07,NaN,NaN,0,1,-0.0199973337599309,0.0996679946249558,-0.148885033623318,0.808108,-0.951226,0.448517,2099589980.11781,419917996.023563,0,1,0.202734432003628,0.00479790420211809,0.245574313578589,0.704861777276843,0.124861777276843
0.08,NaN,NaN,0,1,-0.016160752878576,0.0948367350330599,-0.133748894670688,0.653038539664,-0.908321121742,0.400475020754,1857445705.43091,371489141.086182,1695597.43216692,0.808108,0.202734432003628,0.0107971973268167,0.267484116038936,0.71637715278887,0.13637715278887
0.09,NaN,NaN,0,1,-0.0130600281922679,0.0905831312085579,-0.119567769819784,0.527725668210796,-0.870244243679292,0.355554519551252,1654811075.26815,330962215.05363,6169055.01323084,0.653038539664,0.202734432003628,0.0190608600854383,0.241408533071245,0.708014086503467,0.128014086503467
0.1,NaN,NaN,0,1,-0.0105541214653232,0.086805401908838,-0.106263648846178,0.42645933428649,-0.836151951438028,0.313482654399654,1483995788.7693,296799157.753859,12694653.9974353,0.527725668210796,0.202734432003628,0.0225086208183257,0.248793159638792,0.706147488122023,0.126147488122023
0.11,NaN,NaN,0,1,-0.00852897986742746,0.0834208733299445,-0.0937685163513129,0.344625199711587,-0.805360650013065,0.274024895458093,1339036498.26633,267807299.653266,20742457.501971,0.42645933428649,0.202734432003628,0.0314999853303146,0.261592911095356,0.703185356841701,0.123185356841701
0.12,NaN,NaN,0,1,-0.00689239484980303,0.0803623950374823,-0.0820227799917556,0.278494380888531,-0.777315945095829,0.236978224766432,1215263597.13083,243052719.426166,29920151.5865592,0.344625199711587,0.202734432003628,0.0337236428487288,0.226578589751017,0.716431535119534,0.136431535119534
0.13,NaN,NaN,0,0,-0.0055698300190743,0.0775754153313182,-0.0709739336305636,0.225053537151069,-0.751567898676049,0.202165620268419,1108985938.78233,221797187.756467,39933014.7791799,0.278494380888531,0.202734432003628,0.0417809842271142,0.243427899962688,0.710310674831406,0.130310674831406
0.14,1,0.13,0,1,-0.00450104034658,0.0750156000776502,-0.0605754310472162,0.181867563800076,-0.727751031720533,0.169431578431207,1017259289.76754,203451857.953507,0,0.225053537151069,0.202571197230993,0.0455614036916836,0.237512411870066,0.705660210360188,0.125660210360188
0.15,NaN,NaN,0,0,-0.00363733523497408,0.0726468972211679,-0.0507857437794577,0.146968633247352,-0.705568163031572,0.138638476885579,937714747.328163,187542949.465633,548811.362454253,0.181867563800076,0.202571197230993,0.0574948868033857,0.232642285599893,0.699281475997039,0.119281475997039
0.16,NaN,NaN,0,1,-0.00293936419966957,0.0704399654894649,-0.041567577182143,0.118766528276251,-0.684777348180718,0.109663616590343,868430472.859836,173686094.571967,2059684.93181707,0.146968633247352,0.202571197230993,0.0630751320439339,0.243971345267581,0.699645812852295,0.119645812852295
0.17,NaN,NaN,0,1,-0.00237532609817545,0.0683708999331743,-0.0328872206743423,0.0959761816322646,-0.665181323665562,0.0823968137974702,807834986.563315,161566997.312663,4357648.32135938,0.118766528276251,0.202571197230993,0.069695001654757,0.232321638102718,0.705908446399998,0.125908446399998
0.18,NaN,NaN,0,1,-0.00191952127510841,0.0664201989424317,-0.024714010667548,0.0775591201864861,-0.646618975583864,0.056738436963464,754633655.106388,150926731.021278,7298732.38942008,0.0959761816322646,0.202571197230993,0.0691519921647722,0.261198629217912,0.694765553247038,0.114765553247038
0.19,NaN,NaN,0,1,-0.00155118115959636,0.0645719274259049,-0.0170198873824973,0.0626761454956609,-0.628958444362312,0.0325978038500147,707752364.803544,141550472.960709,10763300.8960165,0.0775591201864861,0.202571197230993,0.0739178635072863,0.24547504369184,0.717707801953767,0.137707801953767
0.2,NaN,NaN,0,1,-0.00125352225335189,0.062813039171441,-0.00977902941615894,0.0506490945842075,-0.612091551619446,0.00989187029887119,666294031.191355,133258806.238271,14651068.4416384,0.0626761454956609,0.202571197230993,0.0721719553854041,0.252101334063655,0.706752589611258,0.126752589611258
0.21,NaN,NaN,0,1,-0.00101298154519981,0.0611328282739914,-0.00296755237849676,0.0409299385262548,-0.595929295480477,-0.0114558447082093,629504770.259549,125900954.05191,18877340.318699,0.0506490945842075,0.202571197230993,0.0824852242741779,0.268722934687057,0.710342544528014,0.130342544528014
0.22,NaN,NaN,0,1,-0.000818598587676389,0.0595224851482512,0.00343673988171462,0.0330758107625747,-0.580398209340755,-0.0315161424856151,596747395.091345,119349479.018269,23370143.2591895,0.0409299385262548,0.202571197230993,0.0907919370475169,0.224469667305695,0.696941078023364,0.116941078023364
0.23,1,0.09,0,0,-0.000661516118757529,0.057974737246627,0.00945456102019239,0.0267288272837227,-0.565437418412495,-0.0503548727842172,567480505.304902,113496101.060981,0,0.0330758107625747,0.202484712452762,0.0944887846968767,0.2197133247851,0.710117573031847,0.130117573031847
0.24,NaN,NaN,0,1,-0.000534576494752109,0.0564835583560487,0.0151053128158229,0.0215997791585946,-0.550996260178702,-0.0680335359152709,541241874.825339,108248374.965068,193459.732856445,0.0267288272837227,0.202484712452762,0.094365399950319,0.263475685589079,0.718945929251451,0.138945929251451
0.25,NaN,NaN,0,1,-0.000431995556298862,0.0550439334010502,0.0204072271697817,0.0174549543362936,-0.537032360567383,-0.0846097825374404,517635164.084411,103527032.816882,734771.920547522,0.0215997791585946,0.202484712452762,0.118323251039349,0.216946875238839,0.708391985836183,0.128391985836183
0.26,NaN,NaN,0,0,-0.000349099072544283,0.0536516681620727,0.0253774848135213,0.0141054882387935,-0.523510078418827,-0.100137830260584,496319219.107523,99263843.8215047,1571050.86359672,0.0174549543362936,0.202484712452762,0.102855946146069,0.229437348642169,0.698441381458523,0.118441381458523
0.27,NaN,NaN,0,1,-0.000282109757291882,0.0523032353321793,0.0300323150738878,0.011398757889675,-0.510399247594748,-0.114668812561871,476999395.50758,95399879.1015161,2656154.07481953,0.0141054882387935,0.202484712452762,0.120660040699246,0.246634928616143,0.697794914876163,0.117794914876163
0.28,NaN,NaN,0,0,-0.000227975153844006,0.0509956499689294,0.034387080232493,0.00921142744070945,-0.497674159634999,-0.12825107255307,459420476.707569,91884095.3415138,3949750.09428166,0.011398757889675,0.202484712452762,0.116593083403485,0.214881276470259,0.703682784301661,0.123682784301661
0.29,NaN,NaN,0,1,-0.00018422854672994,0.0497263687221243,0.038456347348893,0.00744382820625683,-0.485312740822984,-0.140930411747896,443360854.550236,88672170.9100472,5416545.95091118,0.00921142744070945,0.202484712452762,0.133675737887059,0.224188733984491,0.708040354633998,0.128040354633998
0.3,NaN,NaN,0,1,-0.000148876563025225,0.0484932082906315,0.0422539498702593,0.00601541712410179,-0.473295886374067,-0.152750302046411,428627715.296745,85725543.059349,7025640.68577273,0.00744382820625683,0.202484712452762,0.144022361125389,0.253778055781129,0.713128046533756,0.133128046533756
0.31,NaN,NaN,0,1,-0.000120308341901584,0.0472942794299413,0.0457930409040472,0.00486110670132365,-0.461606921615658,-0.163752067591705,415053031.003759,83010606.2007518,8749979.33090891,0.00601541712410179,0.202484712452762,0.13212279016683,0.216472784595103,0.706289522711663,0.126289522711663
0.32,NaN,NaN,0,1,-9.72221337201539e-05,0.0461279335350985,0.0490861396673929,0.00392829921419325,-0.450231165809091,-0.173975041891515,402490199.880497,80498039.9760995,10565887.6974698,0.00486110670132365,0.202484712452762,0.131064351595412,0.229173306191141,0.700390634794963,0.120390634794963
0.33,NaN,NaN,0,1,-7.85659841222126e-05,0.0449927193925694,0.0521451723329396,0.00317449002138328,-0.439155578935569,-0.183456704576614,390811212.759758,78162242.5519517,12452672.8008586,0.00392829921419325,0.202484712452762,0.152826516520076,0.233322702978404,0.710178425879683,0.130178425879683
0.34,NaN,NaN,0,1,-6.34898003423575e-05,0.043887348154921,0.0549815082531118,0.0025653307822,-0.428368475543915,-0.192232801342362,379904248.711369,75980849.7422737,14392277.125443,0.00317449002138328,0.202484712452762,0.149633805267911,0.244846805429164,0.705699407712396,0.125699407712396
0.35,1,0.12,0,1,-5.13066155989807e-05,0.0428106649645788,0.0576059923532062,0.00207306432774208,-0.41785929280904,-0.200337449952308,369671622.904259,73934324.5808518,0,0.0025653307822,0.202435592226636,0.168191117208032,0.251439603902649,0.70030397241966,0.12030397241966
0.36,NaN,NaN,0,0,-4.14612865310837e-05,0.0417616259541424,0.0600289743294669,0.001675259867763,-0.407618402415546,-0.207803234642836,360028025.451095,72005605.0902191,58977.1378489715,0.00207306432774208,0.202435592226636,0.167640790441823,0.232019722828859,0.709792319113312,0.129792319113312
0.37,NaN,NaN,0,1,-3.35051973427223e-05,0.0407392795943585,0.0622603351644813,0.00135379090121822,-0.397636957873443,-0.214661290831131,350899002.178668,70179800.4357335,225382.564003337,0.001675259867763,0.202435592226636,0.174589498030334,0.240486476841518,0.706913423848371,0.126913423848371
0.38,NaN,NaN,0,1,-2.7075818017748e-05,0.0397427515578626,0.0643095113729691,0.00109400925760165,-0.387906770483075,-0.220941381675357,342219637.840582,68443927.5681164,484795.480527396,0.00135379090121822,0.202435592226636,0.186974968333131,0.253278800089753,0.719443158604788,0.139443158604788
0.39,NaN,NaN,0,1,-2.18801851485414e-05,0.0387712324261211,0.0661855173115772,0.000884077633141956,-0.378420208467539,-0.226671967750016,333933409.822646,66786681.9645291,824460.036609529,0.00109400925760165,0.202435592226636,0.191980928140529,0.246554998839653,0.699243811239553,0.119243811239553
0.4,NaN,NaN,0,1,-1.76815526609965e-05,0.0378239676958253,0.0678969658227737,0.00071443020796308,-0.369170114842402,-0.231880270867923,325991186.342077,65198237.2684153,1233105.04724452,0.000884077633141956,0.202435592226636,0.205232385772554,0.209151523378185,0.717708155225683,0.137708155225683
0.41,NaN,NaN,0,0,-1.42886041582892e-05,0.0369002496451481,0.069452087432209,0.000577336766496629,-0.360149740442259,-0.236592332892815,318350347.859903,63670069.5719805,1700783.71804957,0.00071443020796308,0.202435592226636,0.187199080112739,0.248473729893541,0.704394408926587,0.124394408926587
0.42,NaN,NaN,0,1,-1.15467353294194e-05,0.03599941070449,0.0708587482784294,0.000466550459700058,-0.351352689210369,-0.240833070234727,310974014.181872,62194802.8363745,2218730.79236134,0.000577336766496629,0.202435592226636,0.196119414409907,0.215747230177314,0.71326791150943,0.13326791150943
