Time,Event,EventTime,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_2,XX1,SS,gg1,z1,chi,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,0,1,-1,0.5,2568190902.45037,0,513638180.490074,0,0.1,0.0332679692099596,0.248982561321045,0.19,0
0.01,1,0.01,0,0,0,0,0,1,-1,0.5,2568190902.45037,0,0,0,0.238683013856865,0.0285974379562993,0.23983167581805,0,0
0.02,NaN,NaN,0,0,0,0,0,1,-1,0.5,2568190902.45037,0,0,0,0.238683013856865,0.0226951853432723,0.244733967252071,0,0
0.03,NaN,NaN,0,0,0,0,0,1,-1,0.5,2568190902.45037,0,0,0,0.238683013856865,0.0174786853665698,0.283054066458063,0,0
0.04,NaN,NaN,0,0,0,0,0,1,-1,0.5,2568190902.45037,0,0,0,0.238683013856865,0.0121298380384679,0.255993371228269,0,0
0.05,NaN,NaN,0,0,0,0,0,1,-1,0.5,2568190902.45037,0,0,0,0.238683013856865,0.00717494329530236,0.251381788362911,0,0
0.06,NaN,NaN,0,0,0,0,0,1,-1,0.5,2568190902.45037,0,0,0,0.238683013856865,0.000577810383944832,0.282455310646155,0,0
0.07,NaN,NaN,0,0,-0.0199973337599309,0.0996679946249558,-0.148885033623318,0.808108,-0.951226,0.448517,2568190902.45037,513638180.490074,0,1,0.238683013856865,0.00548177460166354,0.24032079853347,0.718626559691421,0.138626559691421
0.08,NaN,NaN,0,1,-0.016160752878576,0.0948367350330599,-0.133748894670688,0.653036922579635,-0.908321121742,0.400475020754,2272107542.3642,454421508.472839,2072049.31935775,0.808108,0.238683013856865,0.0117667085320365,0.228013191213381,0.709455503808357,0.129455503808357
0.09,NaN,NaN,0,1,-0.0130599958560969,0.0905831312085579,-0.119567769819784,0.527722796058716,-0.870244283115128,0.355554519551252,2024328470.58569,404865694.117139,7538734.55778019,0.653036922579635,0.238683013856865,0.0186043594326505,0.279867137642331,0.702898789502274,0.122898789502274
0.1,NaN,NaN,0,1,-0.0105540640286802,0.086805405822706,-0.106263648846178,0.426455490027252,-0.836152059955316,0.313482653046137,1815452022.4034,363090404.48068,15513241.8493083,0.527722796058716,0.238683013856865,0.0235909424678305,0.226828512415155,0.694267928709485,0.114267928709485
0.11,NaN,NaN,0,1,-0.00852890298783556,0.0834208841061556,-0.0937685159488281,0.344620564211126,-0.805360849633891,0.274024890426501,1638187410.10881,327637482.021763,25347985.2198187,0.426455490027252,0.238683013856865,0.0319501258217267,0.262963683210082,0.702698160161331,0.122698160161331
0.12,NaN,NaN,0,1,-0.00689230214419796,0.0803624148706475,-0.0820227784924335,0.278489125547424,-0.777316252894452,0.236978213056148,1486825465.91427,297365093.182855,36563549.4793605,0.344620564211126,0.238683013856865,0.0354596058215545,0.229776278527854,0.69599748853917,0.11599748853917
0.13,NaN,NaN,0,0,-0.00556972491551284,0.0775754459259489,-0.0709739301351751,0.225049290267878,-0.75156832713039,0.202165598395792,1356853270.12113,271370654.024225,48799779.0128692,0.278489125547424,0.238683013856865,0.0419365270327532,0.261089489502537,0.7204720562487,0.1404720562487
0.14,1,0.13,2.17182197852209e-05,1,-0.00450095541063694,0.0750156426819783,-0.0605754245095057,0.181862592472802,-0.727751553294899,0.169431542603882,1244671101.59064,248934220.318128,0,0.225049290267878,0.236623941656538,0.0422026890736972,0.246321717882238,0.70728811770328,0.12728811770328
0.15,NaN,NaN,2.17182197852209e-05,1,-0.00363723580974401,0.0726469491033397,-0.0507857330589818,0.146963082341463,-0.705568793122062,0.138638424386444,1147382559.03089,229476511.806179,670667.792958743,0.181862592472802,0.236623941656538,0.0470241938369477,0.243302242237059,0.701103035025394,0.121103035025394
0.16,NaN,NaN,2.17182197852209e-05,1,-0.00293925318251094,0.070440028185876,-0.0415675614596159,0.118760476504685,-0.684778098275133,0.109663544267117,1062638130.68983,212527626.137966,2517015.12144004,0.146963082341463,0.236623941656538,0.0560377778433111,0.247670087490753,0.711596091982404,0.131596091982404
0.17,NaN,NaN,2.17182197852209e-05,1,-0.002375205063427,0.0683709745919778,-0.0328871990008414,0.0959696970899118,-0.665182203051978,0.082396718211782,988516537.198342,197703307.439668,5325228.4646879,0.118760476504685,0.236623941656538,0.0603220871376607,0.259493747867962,0.719469620046809,0.139469620046809
0.18,NaN,NaN,2.17182197852209e-05,1,-0.00191939158473918,0.0664202864931189,-0.0247139820093561,0.0775522796163261,-0.646619991663217,0.0567383144761672,923435009.527782,184687001.905556,8919384.58408686,0.0959696970899118,0.236623941656538,0.0695572533919265,0.265535275096757,0.717324746043124,0.137324746043124
0.19,NaN,NaN,2.17182197852209e-05,1,-0.00155104434852232,0.0645720286101819,-0.0170198506469528,0.0626690089063566,-0.628959602483523,0.0325976506928513,866080411.449112,173216082.289822,13153297.8141175,0.0775522796163261,0.236623941656538,0.0737071473179034,0.232834607200417,0.716143509940762,0.136143509940762
0.2,NaN,NaN,2.17182197852209e-05,1,-0.00125337952179005,0.0628131545266271,-0.0097789834734038,0.0506417062459836,-0.612092855537558,0.00989168264933173,815356059.113824,163071211.822765,17904430.7666612,0.0626690089063566,0.236623941656538,0.0754462944350851,0.225606832653581,0.71705001141689,0.13705001141689
0.21,NaN,NaN,2.17182197852209e-05,1,-0.00101283377858694,0.0611329581784983,-0.00296749608413067,0.0409223829088826,-0.595930747779343,-0.0114560706703187,770340356.887735,154068071.377547,23069298.3856519,0.0506417062459836,0.236623941656538,0.0866398693650626,0.245459311685569,0.6968624335874,0.1168624335874
0.22,NaN,NaN,2.17182197852209e-05,1,-0.000818447475430188,0.0595226298635978,0.00343680766954676,0.0330680918151837,-0.580399810481249,-0.0315164105380546,730254388.435323,146050877.687065,28559960.9428282,0.0409223829088826,0.236623941656538,0.0889115378594456,0.249979631577295,0.705427875081335,0.125427875081335
0.23,1,0.09,6.14192474352754e-06,1,-0.000661361739877249,0.0579748968225204,0.00945464142873594,0.0267209469884368,-0.565439168747946,-0.050355186590905,694436343.34121,138887268.668242,0,0.0330680918151837,0.235513969695893,0.10673150110342,0.237042962219563,0.714900933566721,0.134900933566721
0.24,NaN,NaN,6.14192474352754e-06,1,-0.000534418888891417,0.0564837328311664,0.0151054069363487,0.0215917560890067,-0.550998160005483,-0.0680338990264989,662321210.872056,132464242.174411,236444.189251848,0.0267209469884368,0.235513969695893,0.101604581288773,0.250347440651373,0.717449206716973,0.137449206716973
