Time,Event,EventTime,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS,gg1,z1,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,0,1,-1,0.5,35642018.2514723,0,356420182.514723,0,0.0385977241136521,0.236712202658475,0,0
0.01,1,0.01,0,0,0,0,0,1,-1,0.5,35642018.2514723,0,0,0,0.0284553730909145,0.247689780404787,0,0
0.02,NaN,NaN,0,0,0,0,0,1,-1,0.5,35642018.2514723,0,0,0,0.0257756454681446,0.283814967365409,0,0
0.03,NaN,NaN,0,0,0,0,0,1,-1,0.5,35642018.2514723,0,0,0,0.0189195189058432,0.27301782739598,0,0
0.04,NaN,NaN,0,0,0,0,0,1,-1,0.5,35642018.2514723,0,0,0,0.0128556588635945,0.249414663484876,0,0
0.05,NaN,NaN,0,0,0,0,0,1,-1,0.5,35642018.2514723,0,0,0,0.00624141191535331,0.261706800661691,0,0
0.06,NaN,NaN,0,0,0,0,0,1,-1,0.5,35642018.2514723,0,0,0,0.000632158892142813,0.266972059616286,0,0
0.07,NaN,NaN,0,1,-0.0199973337599309,0.0996679946249558,-0.148885033623318,0.808106765279084,-0.951226,0.448517,35642018.2514723,356420182.514723,0,1,0.0051067900012529,0.267115300207058,0.719568896862714,0.139568896862714
0.08,NaN,NaN,0,1,-0.0161607281906071,0.0948367350330599,-0.133748894670688,0.653036337083913,-0.908321151853139,0.400475020754,31499701.482206,314997014.82206,1481388.43272458,0.808106765279084,0.0118237003296889,0.233154553729905,0.718099449582958,0.138099449582958
0.09,NaN,NaN,0,1,-0.0130599841481797,0.0905831341949647,-0.119567769819784,0.527722718104633,-0.870244326770431,0.355554518517778,28040739.858316,280407398.58316,5374491.44494596,0.653036337083913,0.0192013424472622,0.272342844587295,0.705153368474053,0.125153368474053
0.1,NaN,NaN,0,1,-0.0105540624697722,0.0868054101553412,-0.106263648539637,0.426455765772083,-0.836152104447063,0.313482650549796,25130067.1691713,251300671.691713,11031991.911943,0.527722718104633,0.0242421170387671,0.255966621898755,0.71516213242586,0.13516213242586
0.11,NaN,NaN,0,1,-0.00852890850233101,0.0834208885243683,-0.0937685152065106,0.344621156847942,-0.805360886316029,0.274024886488794,22663527.940204,226635279.40204,17986046.8038015,0.426455765772083,0.0287018933953588,0.237558352333438,0.69644392774115,0.11644392774115
0.12,1,0.11,2.6275378176052e-05,1,-0.00689231399637123,0.0803624185151715,-0.0820227773190689,0.278489943334833,-0.777316274229389,0.236978207994587,20559963.4174833,205599634.174833,0,0.344621156847942,0.0333911666158247,0.272978327346929,0.696471960633165,0.116471960633165
0.13,NaN,NaN,2.6275378176052e-05,1,-0.00556974127075362,0.0775754480466033,-0.0709739286243555,0.225048755098364,-0.75156832800165,0.202165592775695,18755495.1569216,187554951.569216,619828.840222223,0.278489943334833,0.0366066451344848,0.224907967116179,0.702469733599167,0.122469733599168
0.14,NaN,NaN,2.6275378176052e-05,0,-0.00450094470746349,0.075015642768614,-0.0605754228296635,0.181868741419898,-0.72775156719609,0.169431537146775,17199357.8998141,171993578.998141,2310230.05796012,0.225048755098364,0.0511076503422908,0.255393058563804,0.719067207106679,0.139067207106679
0.15,NaN,NaN,2.6275378176052e-05,1,-0.00363735878705891,0.0726469504861224,-0.0507857314260723,0.146968327547686,-0.705568656729872,0.138638418639519,15850833.7081093,158508337.081093,4858201.87931878,0.181868741419898,0.0479466280369028,0.279238174447216,0.715748892989579,0.135748892989579
0.16,NaN,NaN,2.6275378176052e-05,1,-0.00293935808572908,0.0704400146143321,-0.0415675597385175,0.118764999238637,-0.684777837294295,0.109663543398691,14676966.9957628,146769669.957628,8093897.124583,0.146968327547686,0.0639768590224545,0.252170886566848,0.717786624488921,0.137786624488921
0.17,NaN,NaN,2.6275378176052e-05,1,-0.00237529551759572,0.0683709486158918,-0.0328871987405954,0.0959736718369974,-0.665181838139767,0.0823967263305464,13650881.6406013,136508816.406013,11880057.3205461,0.118764999238637,0.06724119532607,0.224113372786275,0.70177052714303,0.12177052714303
0.18,1,0.06,9.26837836729279e-06,1,-0.00191947107938801,0.0664202501628843,-0.0247139844434978,0.0775557604299136,-0.646619538717963,0.0567383348407963,12750467.0153915,127504670.153915,0,0.0959736718369974,0.0671994097377149,0.255740830279715,0.721803444866894,0.141803444866894
0.19,NaN,NaN,9.26837836729279e-06,1,-0.00155111396462659,0.0645719835045139,-0.0170198567545718,0.0626721074963955,-0.628959075697644,0.0325976859045126,11957403.9131799,119574039.131799,285255.202545884,0.0775557604299136,0.0729058587159303,0.222642055379787,0.706359737660703,0.126359737660703
0.2,NaN,NaN,9.26837836729279e-06,1,-0.00125344149349347,0.062813102055882,-0.00977899403589202,0.0506444752418309,-0.612092266033091,0.00989173473280336,11256409.0923583,112564090.923583,1078238.40560308,0.0626721074963955,0.0892766464798057,0.242486251659021,0.713923374334986,0.133923374334986
0.21,NaN,NaN,9.26837836729279e-06,0,-0.00101288915844707,0.0611328994483633,-0.00296751170903456,0.0409279841263872,-0.595930105123619,-0.0114560001414837,10634649.7797959,106346497.797958,2295631.77242381,0.0506444752418309,0.0789690848327755,0.228086806583933,0.720951315673375,0.140951315673375
