Time,Event,EventTime,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,x1_3,XX1,SS,gg1,z1,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,0,1,-1,0.5,35642018.2514723,0,356420182.514723,0,0.0367714496699599,0.287969105291599,0,0
0.01,1,0.01,0,0,0,0,0,1,-1,0.5,35642018.2514723,0,0,0,0.0274848166015603,0.287748389249046,0,0
0.02,NaN,NaN,0,0,0,0,0,1,-1,0.5,35642018.2514723,0,0,0,0.0273458002591829,0.247497396264434,0,0
0.03,NaN,NaN,0,0,0,0,0,1,-1,0.5,35642018.2514723,0,0,0,0.0166801727038371,0.238503399077141,0,0
0.04,NaN,NaN,0,0,0,0,0,1,-1,0.5,35642018.2514723,0,0,0,0.0123153186251013,0.244426966299975,0,0
0.05,NaN,NaN,0,0,0,0,0,1,-1,0.5,35642018.2514723,0,0,0,0.00614559525428512,0.239933748642865,0,0
0.06,NaN,NaN,0,0,0,0,0,1,-1,0.5,35642018.2514723,0,0,0,0.000612263781971461,0.230065829079246,0,0
0.07,NaN,NaN,0,1,-0.0199973337599309,0.0996679946249558,-0.148885033623318,0.808106796646679,-0.951226,0.448517,35642018.2514723,356420182.514723,0,1,0.00591498191053185,0.279088366871549,0.701288534521545,0.121288534521545
0.08,NaN,NaN,0,0,-0.0161607288177951,0.0948367350330599,-0.133748894670688,0.653037567224554,-0.908321151088177,0.400475020754,31499701.4900874,314997014.900874,1481388.41615368,0.808106796646679,0.0118594604087867,0.252859369128199,0.715577441485743,0.135577441485743
0.09,NaN,NaN,0,1,-0.0130600087467962,0.0905831341190962,-0.119567769819784,0.527723703031851,-0.870244296024685,0.355554518544033,28040740.0748436,280407400.748436,5374490.30379107,0.653037567224554,0.0157643542841941,0.251952782755209,0.710672566808749,0.130672566808749
0.1,NaN,NaN,0,1,-0.0105540821661223,0.0868054071039341,-0.106263648547425,0.426456582297287,-0.836152050431693,0.313482651630405,25130065.821092,251300658.21092,11031992.8826672,0.527723703031851,0.0245627367952291,0.263203992878046,0.702725952148439,0.122725952148439
0.11,NaN,NaN,0,1,-0.00852892483164718,0.0834208831604209,-0.093768515527843,0.344621796714494,-0.805360813705332,0.27402488938623,22663525.5132304,226635255.132304,17986050.4079003,0.426456582297287,0.0307965023933073,0.245416494327965,0.708445039530328,0.128445039530328
0.12,1,0.11,2.65595985243539e-05,1,-0.00689232679309434,0.0803624113009947,-0.0820227781824518,0.278490447757122,-0.777316187785023,0.236978213284721,20559960.2201643,205599602.201643,0,0.344621796714494,0.0383044493417533,0.262768600889371,0.704004437068589,0.124004437068589
0.13,NaN,NaN,2.65595985243539e-05,1,-0.00556975135888644,0.0775754394541885,-0.0709739302034016,0.225049138454845,-0.751568231364057,0.202165600851206,18755491.4648796,187554914.648796,619829.03684113,0.278490447757122,0.0412197914773197,0.261927891987898,0.716725098190027,0.136725098190027
0.14,NaN,NaN,2.65595985243539e-05,0,-0.00450095237443778,0.075015633159236,-0.0605754252434269,0.181869105752948,-0.727751463566283,0.169431548261913,17199353.902515,171993539.02515,2310230.67278598,0.225049138454845,0.0462123155981888,0.272310099763277,0.71768584237212,0.13768584237212
0.15,NaN,NaN,2.65595985243539e-05,0,-0.0036373660736235,0.0726469401778331,-0.0507857347520133,0.146974975886283,-0.705568546742295,0.138638432929946,15850829.5604131,158508295.604131,4858202.8944323,0.181869105752948,0.047147112672128,0.266399367181067,0.7067727505745,0.1267727505745
0.16,NaN,NaN,2.65595985243539e-05,1,-0.00293949105135216,0.070440003670148,-0.0415675640182379,0.118770395513075,-0.684777567855952,0.109663560973635,14676963.0970031,146769630.970031,8093894.71758333,0.146974975886283,0.0613251334588344,0.227143167332798,0.704516958963274,0.124516958963274
0.17,NaN,NaN,2.65595985243539e-05,1,-0.00237540344247553,0.0683709217980088,-0.0328872040073761,0.095978009015346,-0.665181443673272,0.0823967525499462,13650871.5469297,136508715.469297,11880066.0911718,0.118770395513075,0.0686470247125032,0.236496009861865,0.714765051818985,0.134765051818985
0.18,1,0.06,9.05726573122901e-06,1,-0.00191955782263538,0.0664202108902595,-0.0247139923045134,0.077559295635996,-0.646619048100554,0.0567383736991729,12750452.4278004,127504524.278004,0,0.095978009015346,0.0630811951099016,0.261325951806792,0.7053799952238,0.1253799952238
0.19,NaN,NaN,9.05726573122901e-06,1,-0.00155118466857812,0.0645719346473378,-0.0170198684087078,0.0626749595076897,-0.628958510831851,0.0325977402681626,11957386.1581959,119573861.581959,285256.0853032,0.077559295635996,0.0827981990952126,0.246358925769951,0.70893183748479,0.12893183748479
0.2,NaN,NaN,9.05726573122901e-06,1,-0.00125349853362973,0.0628130457921695,-0.00977901034342742,0.0506467937265764,-0.612091645390681,0.00989180661790797,11256389.1142836,112563891.142836,1078241.29761994,0.0626749595076897,0.0818351533980237,0.272680718662523,0.706684706486791,0.126684706486791
0.21,NaN,NaN,9.05726573122901e-06,1,-0.0010129355280944,0.0611328376160705,-0.00296753327437604,0.0409267361970063,-0.595929443075928,-0.0114559094219308,10634628.3179302,106346283.179302,2295637.05694782,0.0506467937265764,0.0881002960166927,0.273083437634881,0.697771289687123,0.117771289687123
0.22,NaN,NaN,9.05726573122901e-06,1,-0.000818534541134334,0.0595224998555044,0.00343675929560177,0.0330718605369173,-0.580398431431999,-0.0315162100440033,10081264.3760289,100812643.760289,3866459.28597249,0.0409267361970063,0.101802270328731,0.233889110131746,0.699448835984583,0.119448835984583
0.23,NaN,NaN,9.05726573122901e-06,1,-0.00066143711427895,0.057974759381105,0.00945458128589717,0.0267242644247153,-0.565437731421753,-0.0503549456464821,9587091.97806272,95870919.7806272,5729889.89729121,0.0330718605369173,0.103291192610522,0.218039500242748,0.696145962030318,0.116145962030318
0.24,NaN,NaN,9.05726573122901e-06,1,-0.000534485237598034,0.0564835895571122,0.0151053346695149,0.0215946698111652,-0.550996676829046,-0.068033617019861,9144255.04348917,91442550.4348916,7833581.69665586,0.0267242644247153,0.112364678747516,0.235758078425904,0.715365484532622,0.135365484532622
0.25,1,0.07,4.03669458306604e-06,1,-0.000431893369369341,0.0550439749398463,0.0204072514910258,0.0174493951593817,-0.537032891658531,-0.0846098751586318,8746019.29926745,87460192.9926745,0,0.0215946698111652,0.108883143080975,0.221425662363582,0.713461194374679,0.133461194374679
0.26,NaN,NaN,4.03669458306604e-06,1,-0.000348987889019593,0.0536517211183127,0.0253775125819838,0.0140995903089179,-0.523510732129902,-0.100137937930941,8386589.5207273,83865895.2072731,133320.672595748,0.0174493951593817,0.105486074961775,0.220708481275383,0.696028749336024,0.116028749336025
0.27,NaN,NaN,4.03669458306604e-06,1,-0.000281991798703754,0.0523033005244556,0.0300323473458613,0.0113925273281788,-0.510400029196587,-0.114668938973438,8060961.4519453,80609614.519453,506899.53277275,0.0140995903089179,0.121361687170918,0.266737562881098,0.720732167481062,0.140732167481062
0.28,NaN,NaN,4.03669458306604e-06,1,-0.000227850542620556,0.0509957279258531,0.0343871181111196,0.00920496066896349,-0.497675074120617,-0.128251221452077,7764801.15265764,77648011.5265764,1084875.77245387,0.0113925273281788,0.137421745618603,0.266507369718483,0.701113649780032,0.121113649780032
0.29,NaN,NaN,4.03669458306604e-06,0,-0.000184099211299408,0.0497264599445598,0.0384563919525335,0.00743937696567169,-0.485313790712204,-0.140930586923367,7494346.01252847,74943460.1252847,1835811.53281782,0.00920496066896349,0.135339487029127,0.25732012113212,0.714650270304324,0.134650270304324
0.3,NaN,NaN,4.03669458306604e-06,0,-0.000148787538215494,0.048493313032662,0.0422540023290732,0.00601259465037195,-0.473297019212043,-0.152750507243807,7246322.70980307,72463227.0980307,2732121.14337874,0.00743937696567169,0.124733877397265,0.228004805621598,0.69868390838073,0.11868390838073
0.31,NaN,NaN,4.03669458306604e-06,0,-0.000120251892427804,0.0472943924603509,0.0457931023341761,0.00485960044711971,-0.461608095658781,-0.163752304627581,7017877.68743043,70178776.8743043,3749592.89215987,0.00601259465037195,0.127901731708146,0.24788383998395,0.718936015220775,0.138936015220775
0.32,NaN,NaN,4.03669458306604e-06,1,-9.71920086363596e-05,0.0461280506895989,0.0490862106068178,0.00392562184622844,-0.450232347953846,-0.173975311087354,6806523.3194317,68065233.194317,4866974.85352302,0.00485960044711971,0.160949584418682,0.259170800646833,0.707546590594819,0.127546590594819
0.33,NaN,NaN,4.03669458306604e-06,1,-7.85124367632467e-05,0.0449928373677373,0.0521452528720983,0.00317088464106088,-0.439156797544332,-0.183457005106685,6610087.81217616,66100878.1217616,6065626.2026748,0.00392562184622844,0.142103977896839,0.214307708292717,0.698391841560828,0.118391841560828
0.34,1,0.09,2.84104869357452e-06,1,-6.34176927361998e-05,0.0438874697810805,0.0549815981395851,0.00256094225799104,-0.428369752358877,-0.19223313338273,6426675.71313083,64266757.1313083,0,0.00317088464106088,0.145124810456723,0.246494535287619,0.714807335112098,0.134807335112098
0.35,NaN,NaN,2.84104869357452e-06,1,-5.12188451150322e-05,0.0428107924120655,0.0576060916347584,0.00206805325399544,-0.417860645509255,-0.20033781441923,6254629.97088577,62546299.7088577,54862.98774442,0.00256094225799104,0.154079375773348,0.209184366252247,0.710689750792387,0.130689750792388
0.36,NaN,NaN,2.84104869357452e-06,1,-4.13610650563227e-05,0.0417617609882477,0.0600290832755383,0.00166975140885203,-0.407619844332516,-0.207803633027902,6092503.8755648,60925038.755648,209512.302400441,0.00206805325399544,0.175064796903914,0.223973815352189,0.709329285612588,0.129329285612588
0.37,NaN,NaN,2.84104869357452e-06,1,-3.33950281646262e-05,0.0407394235467413,0.0622604542167161,0.00134788596570451,-0.397638498961171,-0.214661725032298,5939035.16977727,59390351.6977727,450335.325902182,0.00166975140885203,0.186898265459648,0.205763044330833,0.708578053175488,0.128578053175488
0.38,NaN,NaN,2.84104869357452e-06,1,-2.69577193075601e-05,0.0397429054232218,0.0643096410945987,0.00108779026753498,-0.387908417991959,-0.220941853867085,5793123.69948398,57931236.9948398,765296.271748252,0.00134788596570451,0.176299034499979,0.248849778313148,0.707866273947427,0.127866273947427
0.39,NaN,NaN,2.84104869357452e-06,1,-2.17558053472671e-05,0.0387713969293535,0.0661856583485602,0.000877600639435943,-0.378421967461135,-0.226672480280979,5653811.92320916,56538119.2320916,1143764.26686879,0.00108779026753498,0.186560721298389,0.220334800851304,0.712779989109916,0.132779989109916
0.4,NaN,NaN,2.84104869357452e-06,0,-1.75520127869164e-05,0.0378241433435329,0.067897118873231,0.000709741272049208,-0.369171988893866,-0.231880826179976,5520267.87981488,55202678.7981488,1576360.93301186,0.000877600639435943,0.205673327127365,0.237540506346458,0.708495779040389,0.128495779040389
0.41,NaN,NaN,2.84104869357452e-06,1,-1.41948254400308e-05,0.0369004367951171,0.0694522532222435,0.000572113650786745,-0.36015168314031,-0.236592933466643,5391770.2399652,53917702.399652,2054824.73206826,0.000709741272049208,0.209488718566552,0.240271861780794,0.71117742646823,0.13117742646823
