Time,Event,EventTime,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_2,XX1,SS,gg1,z1,chi,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,0,1,-1,0.5,2568190902.45037,0,513638180.490074,0,0.8,0.0349845598557236,0.237614512342691,0.19,0
0.01,1,0.01,0,0,0,0,0,1,-1,0.5,2568190902.45037,0,0,0,0.530818399976946,0.0322331597297837,0.242951114407612,0,0
0.02,NaN,NaN,0,0,0,0,0,1,-1,0.5,2568190902.45037,0,0,0,0.530818399976946,0.0259565961446181,0.264308706920664,0,0
0.03,NaN,NaN,0,0,0,0,0,1,-1,0.5,2568190902.45037,0,0,0,0.530818399976946,0.0176147153087004,0.239325177973454,0,0
0.04,NaN,NaN,0,0,0,0,0,1,-1,0.5,2568190902.45037,0,0,0,0.530818399976946,0.0115815275543629,0.283245999379021,0,0
0.05,NaN,NaN,0,0,0,0,0,1,-1,0.5,2568190902.45037,0,0,0,0.530818399976946,0.00709221616420953,0.280522138628217,0,0
0.06,NaN,NaN,0,0,0,0,0,1,-1,0.5,2568190902.45037,0,0,0,0.530818399976946,0.000590987204641849,0.261126696766729,0,0
0.07,NaN,NaN,0,0,-0.0199973337599309,0.0996679946249558,-0.148885033623318,0.808108,-0.951226,0.448517,2568190902.45037,513638180.490074,0,1,0.530818399976946,0.00581482155524196,0.261130675116295,0.697591783681323,0.117591783681323
0.08,NaN,NaN,0,0,-0.016160752878576,0.0948367350330599,-0.133748894670688,0.653038539664,-0.908321121742,0.400475020754,2272107542.3642,454421508.472839,2072049.31935775,0.808108,0.530818399976946,0.0117273384821752,0.255966760996786,0.718709180324131,0.138709180324131
0.09,NaN,NaN,0,1,-0.0130600281922679,0.0905831312085579,-0.119567769819784,0.527724088128417,-0.870244243679292,0.355554519551252,2024328476.92298,404865695.384595,7538734.22617342,0.653038539664,0.530818399976946,0.0173727382924898,0.264904931859027,0.709503406595416,0.129503406595416
0.1,NaN,NaN,0,1,-0.0105540898671958,0.086805401908838,-0.106263648846178,0.426456480570178,-0.836151989971497,0.313482654399654,1815451885.80607,363090377.161214,15513245.6887525,0.527724088128417,0.530818399976946,0.0215485095614472,0.282348354080671,0.71869260622811,0.13869260622811
0.11,NaN,NaN,0,1,-0.00852892279725298,0.0834208771564758,-0.0937685163513129,0.344621343652362,-0.805360757200397,0.274024894135547,1638187174.32257,327637434.864513,25347994.0942115,0.426456480570178,0.530818399976946,0.0272576985102902,0.244574174775251,0.712361008422887,0.132361008422887
0.12,NaN,NaN,0,1,-0.00689231773228214,0.0803624056869928,-0.0820227795976612,0.278489719150861,-0.777316143706901,0.236978219810395,1486825166.14938,297365033.229876,36563563.2719926,0.344621343652362,0.530818399976946,0.0381914562273016,0.255247158584936,0.712722061708617,0.132722061708617
0.13,NaN,NaN,0,1,-0.00556973678721328,0.0775754350729023,-0.0709739321512421,0.225048207799492,-0.751568206129389,0.202165608665754,1356852929.16075,271370585.832151,48799797.2895878,0.278489719150861,0.530818399976946,0.0390056030350516,0.265722426649539,0.720017560504798,0.140017560504799
0.14,NaN,NaN,0,1,-0.0045009337617078,0.0750156306499696,-0.0605754275791891,0.181861732307373,-0.727751461642905,0.169431556674355,1244670733.7235,248934146.744699,61781959.976354,0.225048207799492,0.530818399976946,0.0475533125260677,0.275431689007903,0.700586749100872,0.120586749100872
0.15,NaN,NaN,0,1,-0.00363721860666301,0.0726469399865104,-0.0507857372692366,0.146962342878097,-0.70556872468204,0.13863844111967,1147382292.79316,229476458.558632,75297191.8783807,0.181861732307373,0.530818399976946,0.0569750251145367,0.22458815725408,0.721382343748842,0.141382343748842
0.16,NaN,NaN,0,1,-0.00293923839337139,0.0704400213758324,-0.0415675664709099,0.118759858852602,-0.684778049537451,0.109663562775024,1062637940.29288,212527588.058577,89178032.8430267,0.146962342878097,0.530818399976946,0.0570847170334784,0.223038030694918,0.720723129165012,0.140723129165012
0.17,NaN,NaN,0,1,-0.00237519271045503,0.0683709697409925,-0.0328872045472081,0.0959692074724072,-0.665182170565543,0.0823967377572351,988516407.282582,197703281.456516,103290810.973094,0.118759858852602,0.530818399976946,0.0594450202085459,0.238266159668514,0.715176549416828,0.135176549416828
0.18,1,0.17,1.13519256973577e-05,0,-0.00191938179242516,0.0664202832588073,-0.0247139878694106,0.077555662655838,-0.646619971909331,0.0567383344657807,923434926.569538,184686985.313908,0,0.0959692074724072,0.460147489350558,0.0691415737393531,0.224976555857668,0.718306572807689,0.138306572807689
0.19,NaN,NaN,1.13519256973577e-05,1,-0.00155111200914978,0.0645720266430297,-0.0170198566420997,0.0626717758915196,-0.62895950070919,0.0325976706743741,866080367.698858,173216073.539772,409882.726013397,0.077555662655838,0.460147489350558,0.0833521576914051,0.271745606448774,0.701397130965012,0.121397130965013
0.2,NaN,NaN,1.13519256973577e-05,0,-0.00125343486140637,0.0628131443893488,-0.00977898946728741,0.05064774181587,-0.612092688766729,0.00989170543814741,815355801.566854,163071160.313371,1549656.19229318,0.0626717758915196,0.460147489350558,0.0744958470131439,0.27377808267323,0.714945404428961,0.134945404428961
0.21,NaN,NaN,1.13519256973577e-05,0,-0.00101295448986082,0.0611329415637416,-0.00296750292071517,0.040931023687065,-0.595930437886111,-0.0114560429397523,770339943.72384,154067988.744768,3299933.8772916,0.05064774181587,0.460147489350558,0.0871757537535645,0.221723152264033,0.716246955746753,0.136246955746753
0.22,NaN,NaN,1.13519256973577e-05,0,-0.00081862029087805,0.0595225989840679,0.00343679935047512,0.0330788660334326,-0.580399297422726,-0.0315163731231013,730253634.751132,146050726.950226,5558905.66381387,0.040931023687065,0.460147489350558,0.098864241033785,0.239872787869547,0.700996902647726,0.120996902647726
0.23,NaN,NaN,1.13519256973577e-05,0,-0.000661577224147945,0.0579748456891115,0.00945463020525329,0.0267334746162711,-0.565438405450521,-0.050355132850913,694435121.521707,138887024.304341,8239272.19926268,0.0330788660334326,0.460147489350558,0.107419084912742,0.230422147226019,0.70902526660906,0.12902526660906
0.24,NaN,NaN,1.13519256973577e-05,1,-0.000534669441376511,0.0564836567449468,0.0151053908180297,0.0216019221437412,-0.550997109811332,-0.0680338209330767,662319432.431922,132463886.486384,11265849.0144642,0.0267334746162711,0.460147489350558,0.104295612230935,0.259871101604645,0.699076698887625,0.119076698887625
0.25,NaN,NaN,1.13519256973577e-05,1,-0.000432038415993794,0.0550440181068882,0.0204073126395142,0.017455040481948,-0.537033137219043,-0.0846100869339562,633422130.669996,126684426.133999,14573664.3421394,0.0216019221437412,0.460147489350558,0.105045349741828,0.236160561891591,0.711139069651347,0.131139069651347
