Time,X1_pred,X2_pred,X3_pred,U_pred,Event_pred
-0.061,1,-1,0.5,0,0
-0.051,0.808099423917289,-0.951226,0.448517,0,0
-0.041,0.807550393819263,-0.513228677849078,0.448488858326115,0,0
-0.031,0.755530085450851,-0.211053416846178,0.43746746683622,0,0
-0.021,0.658704629767457,-0.0565907090335178,0.422619342493815,0,0
-0.011,0.532309280268302,-0.0391468016061784,0.406171895105294,0,0
-0.001,0.464077690898016,0.0809745607394582,0.395973969285148,0,0
0.00900000000000001,0.434142751619351,0.288538686283185,0.392353725151886,0,0
0.019,0.350843809567969,0.292089532624538,0.388790585387834,0,0
0.029,0.283529558605339,0.293522373176358,0.385471611854892,0,0
0.039,0.229122504545443,0.293278678407414,0.382315730084968,0,0
0.049,0.185165729806986,0.291714101795442,0.379259800397291,0,0
0.059,0.149633907582864,0.28911570664776,0.376255056929878,0,0
0.069,0.120930387308773,0.285714164013964,0.373264260149495,-0.000275195534441556,1
0.079,0.097671164667654,0.281695582051455,0.370259365749931,-0.000279577885810055,1
0.089,0.0789386542084412,0.277207778584716,0.367219679565832,-0.000279577885810055,0
0.099,0.0638006563067015,0.272372589448552,0.364130291100358,-0.000279577885810055,0
0.109,0.0515672219052992,0.267286145715022,0.360980983264265,-0.000279577885810055,0
0.119,0.0416814274968697,0.262025408320074,0.3577651890499,-0.000279577885810055,0
0.129,0.0336923461253142,0.256651879659738,0.354479208295691,-0.000279577885810055,0
0.139,0.0272362882631045,0.251214565515434,0.351121578722248,-0.000279577885810055,0
0.149,0.0220188433556868,0.245752407268082,0.347692570214964,-0.000279577885810055,0
0.159,0.0178025486406411,0.24029621684495,0.344193779942301,-0.000279577885810055,0
0.169,0.0143348275887833,0.234870263758452,0.340627807781673,-0.000268663561315446,1
0.179,0.0115323272747726,0.229492066076582,0.336997997355708,-0.000269743284472004,1
0.189,0.00932798155104747,0.224176681926422,0.333308178782346,-0.000269743284472004,0
0.199,0.00754648023897344,0.218937166670368,0.329562567547257,-0.000269743284472004,0
0.209,0.00610657686856987,0.213781982000366,0.325765682538361,-0.000269743284472004,0
0.219,0.00494289067392243,0.208717401895417,0.321922177968496,-0.000269743284472004,0
0.229,0.0040023837217635,0.203747952890258,0.318036763644115,-0.000269743284472004,0
0.239,0.0032422504748717,0.198876757694946,0.314114143081421,-0.000269743284472004,0
0.249,0.00262797603471206,0.19410581896737,0.310158965540187,-0.000269743284472004,0
0.259,0.00207192687911519,0.189436248811771,0.306175789443515,-0.000269743284472004,0
0.269,0.00168182192105307,0.184866995092799,0.302169054929952,-0.000269743284472004,0
0.279,0.00136650909358918,0.18039965827466,0.298143013632221,-0.000269743284472004,0
0.289,0.00111153002289857,0.176033576865581,0.294101826189639,-0.000269743284472004,0
0.299,0.000905411818060322,0.171767752909229,0.290049487736339,-0.000269743284472004,0
0.309,0.0007386831922418,0.167600932997039,0.285989822033603,-0.000210035998705987,1
0.319,0.000603748060345,0.163531663311049,0.28192647858409,-0.000203500758920766,1
0.329,0.000494698050363309,0.15955834024183,0.277862931734288,-0.000203500758920766,0
0.339,0.000406417893866602,0.155679255199707,0.273802481545084,-0.000203500758920766,0
0.349,0.000334902256200159,0.151892616516329,0.269748256170458,-0.000203500758920766,0
0.359,0.000276987444719352,0.148196578538667,0.265703214906249,-0.000203500758920766,0
0.369,0.000230108090470002,0.144589263470659,0.261670152132841,-0.000203500758920766,0
0.379,0.000192218846974244,0.141068776748403,0.257651701872178,-0.000203500758920766,0
0.389,0.000161308616434639,0.13763322013086,0.253650342716079,-0.000203500758920766,0
0.399,0.000136377687133248,0.134280692624758,0.249668403034709,-0.000203500758920766,0
0.409,0.000115991385562519,0.131009315216374,0.245708066038019,-0.000203500758920766,0
0.419,9.95058893933323e-05,0.127817219728112,0.241771375512319,-0.000203500758920766,0
0.429,8.60503841053268e-05,0.124702567840727,0.237860240977493,-0.000203500758920766,0
0.439,7.50393350415713e-05,0.121663544829513,0.233976443320093,-0.000203500758920766,0
0.449,6.61059648951056e-05,0.118698365946019,0.230121640018099,-0.000203500758920766,0
0.459,5.86738893619784e-05,0.11580528102186,0.226297370405397,-0.000203500758920766,0
0.469,5.25736041978527e-05,0.112982568513719,0.222505060913576,-0.000203500758920766,0
0.479,4.74997150846048e-05,0.110228544727861,0.218746029929428,-0.000203500758920766,0
0.489,-6.65267873233789e-07,0.107541559583134,0.21502149280234,-0.000203500758920766,0
0.499,4.29608905098869e-06,0.104918927345693,0.21133256653439,-0.000203500758920766,0
0.509,-3.55784637000072e-05,0.102360374233237,0.207680237610156,-0.000203500758920766,0
0.519,-2.41353687156847e-05,0.0998632441348168,0.204065449259333,-0.000203500758920766,0
0.529,-1.48785817210691e-05,0.0974272906108641,0.200489021175049,-0.000203500758920766,0
0.539,-7.54326026998322e-06,0.0950509684307646,0.196951736458625,-0.000127363571143799,1
0.549,-1.75712025397315e-06,0.0927327765061553,0.193454298298373,-0.000127363571143799,0
0.559,2.88131957670202e-06,0.0904712594346081,0.189997334227421,-0.000127363571143799,0
0.569,6.54871615785992e-06,0.0882650070975168,0.186581400288382,-0.000127363571143799,0
0.579,9.50387128846971e-06,0.0861126480729706,0.183206985041285,-0.000127363571143799,0
0.589,1.17258910952239e-05,0.0840128506953242,0.179874513207858,-0.000127363571143799,0
0.599,1.34472715261782e-05,0.0819643152647234,0.176584349227103,-0.000127363571143799,0
0.609,1.47514516544943e-05,0.0799657794469733,0.173336800421446,-0.000127363571143799,0
0.619,1.56874406665819e-05,0.0780160137272515,0.17013212023956,-0.000127363571143799,0
0.629,1.63943370027941e-05,0.0761138197701005,0.166970511231845,-0.000127363571143799,0
0.639,1.68685543231911e-05,0.0742580318560636,0.163852127867495,-0.000127363571143799,0
0.649,1.72692037061591e-05,0.072447512606624,0.160777079304191,-0.000127363571143799,0
0.659,1.74798419414046e-05,0.0706811562607571,0.157745431915997,-0.000127363571143799,0
0.669,1.75258026167266e-05,0.0689578811839314,0.154757211846958,-0.000127363571143799,0
0.679,1.74862035212682e-05,0.0672766327372473,0.151812407219941,-0.000127363571143799,0
0.689,1.73848886389864e-05,0.0656363839307293,0.148910970368146,-0.000127363571143799,0
0.699,1.72714389237191e-05,0.0640361334010899,0.146052820012441,-0.000127363571143799,0
0.709,-1.04828624281571e-05,0.0624749054144185,0.143237843294566,-0.000127363571143799,0
0.719,-5.3747991041516e-06,0.0609510742505111,0.140465897740644,-0.000127363571143799,0
0.729,-1.30206409110681e-06,0.0594645293275381,0.137736789968816,-0.000127363571143799,0
0.739,1.89040585154467e-06,0.0580143360973904,0.135050329439086,-0.000127363571143799,0
0.749,4.3974932113898e-06,0.0565995865843109,0.132406300075612,-0.000127363571143799,0
0.759,-2.08864009498561e-05,0.0552193997079462,0.129804462055164,-0.000127363571143799,0
0.769,-1.41489134442455e-05,0.0538722548506086,0.127244553545282,-0.000127363571143799,0
0.779,-3.58739005395282e-05,0.0525581271220146,0.124726269509484,-0.000127363571143799,0
